GroundTruth,Parsed Value,Prompt,Response,Error
10,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 156680 is connected to Node 148697. Node 156680 is connected to Node 61550. Node 83081 is connected to Node 61550. Node 83081 is connected to Node 85721. Node 61550 is connected to Node 148697. Node 61550 is connected to Node 146136. Node 61550 is connected to Node 85721. Node 146136 is connected to Node 148697. 
Node to Label Mapping : 
Node 156680: Label 10| Node 83081: Label 10| Node 61550: Label 10| Node 85721: Label ?| Node 146136: Label 10| Node 148697: Label 24| ```
                                ""","""Label of Node = -1""",
27,7,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 11041 is connected to Node 79920. Node 46360 is connected to Node 79920. Node 41539 is connected to Node 98087. Node 41539 is connected to Node 147342. Node 98087 is connected to Node 79920. Node 98087 is connected to Node 5908. Node 147342 is connected to Node 79920. Node 79920 is connected to Node 17240. 
Node to Label Mapping : 
Node 11041: Label 7| Node 46360: Label 7| Node 41539: Label 7| Node 98087: Label 7| Node 147342: Label 0| Node 79920: Label 7| Node 5908: Label 7| Node 17240: Label ?| ```
                                ""","""Label of Node = 7""",
28,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 5266 is connected to Node 30581. Node 25324 is connected to Node 30581. 
Node to Label Mapping : 
Node 5266: Label 36| Node 25324: Label 28| Node 30581: Label ?| ```
                                ""","""Label of Node = -1""",
27,27,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 91267 is connected to Node 162811. Node 91267 is connected to Node 118962. Node 151562 is connected to Node 162811. Node 112267 is connected to Node 162811. Node 112267 is connected to Node 118962. Node 73356 is connected to Node 162811. Node 91404 is connected to Node 162811. Node 49421 is connected to Node 162811. Node 40847 is connected to Node 162811. Node 153995 is connected to Node 162811. Node 129171 is connected to Node 162811. Node 129171 is connected to Node 138091. Node 154023 is connected to Node 162811. Node 118962 is connected to Node 162811. Node 118962 is connected to Node 163813. Node 73779 is connected to Node 162811. Node 115125 is connected to Node 162811. Node 137918 is connected to Node 162811. Node 150213 is connected to Node 162811. Node 102985 is connected to Node 162811. Node 118354 is connected to Node 162811. Node 153568 is connected to Node 162811. Node 163813 is connected to Node 162811. Node 138091 is connected to Node 162811. Node 80111 is connected to Node 162811. Node 116335 is connected to Node 162811. 
Node to Label Mapping : 
Node 91267: Label 24| Node 151562: Label 24| Node 112267: Label 27| Node 73356: Label 27| Node 91404: Label 24| Node 49421: Label 24| Node 40847: Label 10| Node 153995: Label ?| Node 129171: Label 6| Node 154023: Label 27| Node 118962: Label 27| Node 73779: Label 24| Node 115125: Label 24| Node 137918: Label 10| Node 150213: Label 27| Node 102985: Label 27| Node 118354: Label 16| Node 153568: Label 24| Node 163813: Label 10| Node 138091: Label 6| Node 80111: Label 27| Node 116335: Label 24| Node 162811: Label 27| ```
                                ""","""Label of Node = 27""",
10,24,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 1379 is connected to Node 108548. Node 1379 is connected to Node 58124. 
Node to Label Mapping : 
Node 1379: Label 24| Node 108548: Label 24| Node 58124: Label ?| ```
                                ""","""Label of Node = 24""",
2,2,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 137607 is connected to Node 117965. Node 137607 is connected to Node 120745. Node 137607 is connected to Node 64113. Node 137607 is connected to Node 24436. Node 137607 is connected to Node 103965. Node 137607 is connected to Node 90907. Node 137607 is connected to Node 121207. Node 137607 is connected to Node 131977. Node 33799 is connected to Node 90907. Node 131977 is connected to Node 64113. Node 131977 is connected to Node 74793. Node 131977 is connected to Node 24436. Node 131977 is connected to Node 90907. Node 131977 is connected to Node 89834. Node 62345 is connected to Node 121207. Node 62345 is connected to Node 24436. Node 67600 is connected to Node 121207. Node 66324 is connected to Node 90907. Node 66324 is connected to Node 121207. Node 90907 is connected to Node 74793. Node 90907 is connected to Node 62878. Node 90907 is connected to Node 64351. Node 90907 is connected to Node 117965. Node 90907 is connected to Node 47523. Node 90907 is connected to Node 10326. Node 103965 is connected to Node 64351. Node 103965 is connected to Node 89834. Node 103965 is connected to Node 47523. Node 47523 is connected to Node 120745. Node 47523 is connected to Node 64351. Node 47523 is connected to Node 121207. Node 47523 is connected to Node 157159. Node 47523 is connected to Node 116186. Node 47523 is connected to Node 91100. Node 120745 is connected to Node 121207. Node 120745 is connected to Node 24436. Node 120745 is connected to Node 64351. Node 120745 is connected to Node 25914. Node 74793 is connected to Node 89834. Node 117291 is connected to Node 64351. Node 117291 is connected to Node 164909. Node 117291 is connected to Node 134605. Node 55083 is connected to Node 157159. Node 55083 is connected to Node 116186. Node 8250 is connected to Node 157159. Node 117965 is connected to Node 121207. Node 117965 is connected to Node 64113. Node 117965 is connected to Node 89834. Node 119121 is connected to Node 121207. Node 62932 is connected to Node 121207. Node 6233 is connected to Node 121207. Node 116186 is connected to Node 91100. Node 154461 is connected to Node 121207. Node 64351 is connected to Node 121207. Node 64351 is connected to Node 157159. Node 3167 is connected to Node 121207. Node 114149 is connected to Node 121207. Node 73318 is connected to Node 121207. Node 157159 is connected to Node 103784. Node 103784 is connected to Node 121207. Node 64113 is connected to Node 121207. Node 61686 is connected to Node 121207. 
Node to Label Mapping : 
Node 137607: Label 2| Node 33799: Label 22| Node 131977: Label 2| Node 62345: Label 2| Node 67600: Label 22| Node 66324: Label 2| Node 90907: Label 2| Node 103965: Label 2| Node 62878: Label 2| Node 47523: Label 2| Node 120745: Label 2| Node 74793: Label 2| Node 117291: Label 10| Node 55083: Label 22| Node 164909: Label 10| Node 25914: Label 2| Node 8250: Label 2| Node 134605: Label 10| Node 117965: Label 2| Node 119121: Label 2| Node 62932: Label 22| Node 10326: Label 2| Node 6233: Label 22| Node 116186: Label 22| Node 91100: Label 22| Node 154461: Label 22| Node 64351: Label 2| Node 3167: Label 2| Node 114149: Label 22| Node 73318: Label 2| Node 157159: Label 14| Node 103784: Label 22| Node 89834: Label 2| Node 64113: Label ?| Node 24436: Label 2| Node 61686: Label 22| Node 121207: Label 2| ```
                                ""","""Label of Node = 2""",
24,24,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 128896 is connected to Node 103089. Node 42243 is connected to Node 70744. Node 42243 is connected to Node 68151. Node 42243 is connected to Node 48336. Node 42243 is connected to Node 61797. Node 42243 is connected to Node 122415. Node 42243 is connected to Node 57931. Node 101382 is connected to Node 32486. Node 101382 is connected to Node 76363. Node 3079 is connected to Node 49968. Node 3079 is connected to Node 129363. Node 3079 is connected to Node 2522. Node 135815 is connected to Node 90720. Node 135815 is connected to Node 57931. Node 28685 is connected to Node 49968. Node 28685 is connected to Node 129363. Node 28685 is connected to Node 2522. Node 93585 is connected to Node 32486. Node 93585 is connected to Node 57931. Node 119960 is connected to Node 32486. Node 119960 is connected to Node 163659. Node 104216 is connected to Node 131927. Node 104216 is connected to Node 103089. Node 83614 is connected to Node 90841. Node 83614 is connected to Node 121316. Node 83614 is connected to Node 32486. Node 41375 is connected to Node 90841. Node 41375 is connected to Node 32486. Node 41375 is connected to Node 1112. Node 144037 is connected to Node 103089. Node 163750 is connected to Node 2522. Node 136871 is connected to Node 103089. Node 167081 is connected to Node 61797. Node 49068 is connected to Node 107713. Node 49068 is connected to Node 136801. Node 150958 is connected to Node 32486. Node 122415 is connected to Node 90720. Node 122415 is connected to Node 32486. Node 122415 is connected to Node 61797. Node 122415 is connected to Node 76363. Node 122415 is connected to Node 57931. Node 122415 is connected to Node 2522. Node 49968 is connected to Node 129363. Node 49968 is connected to Node 2522. Node 103089 is connected to Node 105854. Node 103089 is connected to Node 131256. Node 103089 is connected to Node 107439. Node 103089 is connected to Node 156535. Node 103089 is connected to Node 120885. Node 103089 is connected to Node 136801. Node 103089 is connected to Node 110562. Node 103089 is connected to Node 131927. Node 103089 is connected to Node 169213. Node 68151 is connected to Node 90841. Node 68151 is connected to Node 2522. Node 131256 is connected to Node 147162. Node 131256 is connected to Node 163659. Node 131256 is connected to Node 90720. Node 113348 is connected to Node 2522. Node 122693 is connected to Node 76363. Node 138441 is connected to Node 2522. Node 76363 is connected to Node 115194. Node 76363 is connected to Node 116850. Node 76363 is connected to Node 136801. Node 76363 is connected to Node 90720. Node 57931 is connected to Node 32486. Node 57931 is connected to Node 116850. Node 57931 is connected to Node 1112. Node 57931 is connected to Node 2522. Node 163659 is connected to Node 90720. Node 48336 is connected to Node 2522. Node 129363 is connected to Node 2522. Node 99413 is connected to Node 2522. Node 1112 is connected to Node 116850. Node 1112 is connected to Node 32486. Node 90841 is connected to Node 32486. Node 2522 is connected to Node 116850. Node 2522 is connected to Node 136801. Node 2522 is connected to Node 61797. Node 70744 is connected to Node 61797. Node 147162 is connected to Node 90720. Node 90720 is connected to Node 115194. Node 90720 is connected to Node 116850. Node 90720 is connected to Node 136801. Node 136801 is connected to Node 32486. Node 136801 is connected to Node 61797. Node 121316 is connected to Node 116850. Node 121316 is connected to Node 32486. Node 61797 is connected to Node 116850. Node 32486 is connected to Node 116850. 
Node to Label Mapping : 
Node 128896: Label 24| Node 42243: Label 34| Node 101382: Label 34| Node 3079: Label 34| Node 135815: Label 34| Node 28685: Label 34| Node 93585: Label 24| Node 119960: Label 24| Node 104216: Label 24| Node 83614: Label 34| Node 41375: Label 24| Node 144037: Label 24| Node 163750: Label 34| Node 136871: Label 24| Node 167081: Label 26| Node 49068: Label 24| Node 150958: Label 24| Node 122415: Label ?| Node 49968: Label 34| Node 103089: Label 24| Node 107439: Label 10| Node 120885: Label 24| Node 68151: Label 34| Node 131256: Label 24| Node 107713: Label 10| Node 113348: Label 9| Node 122693: Label 24| Node 138441: Label 34| Node 76363: Label 24| Node 57931: Label 24| Node 163659: Label 24| Node 48336: Label 10| Node 129363: Label 34| Node 99413: Label 34| Node 131927: Label 24| Node 1112: Label 24| Node 90841: Label 34| Node 2522: Label 34| Node 70744: Label 34| Node 147162: Label 24| Node 90720: Label 10| Node 136801: Label 24| Node 110562: Label 37| Node 121316: Label 34| Node 61797: Label 24| Node 32486: Label 24| Node 116850: Label 34| Node 156535: Label 37| Node 115194: Label 10| Node 169213: Label 24| Node 105854: Label 24| ```
                                ""","""Label of Node = 24""",
8,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 46782: Label ?| ```
                                ""","""Label of Node = -1""",
2,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 25422 is connected to Node 74077. Node 39764 is connected to Node 74077. Node 96280 is connected to Node 31321. Node 31321 is connected to Node 74077. 
Node to Label Mapping : 
Node 25422: Label 37| Node 39764: Label 9| Node 96280: Label 10| Node 31321: Label 2| Node 74077: Label ?| ```
                                ""","""Label of Node = -1""",
10,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 119138 is connected to Node 120645. Node 118659 is connected to Node 120645. Node 119468 is connected to Node 120645. 
Node to Label Mapping : 
Node 119138: Label 10| Node 118659: Label 26| Node 119468: Label 5| Node 120645: Label ?| ```
                                ""","""Label of Node = -1""",
