GroundTruth,Parsed Value,Prompt,Response,Error
30,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 162254: Label ?| ```
                                ""","""Label of Node = -1""",
28,28,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 154696 is connected to Node 163053. 
Node to Label Mapping : 
Node 154696: Label 28| Node 163053: Label ?| ```
                                ""","""Label of Node = 28""",
34,20,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 33152 is connected to Node 16420. Node 82178 is connected to Node 77092. Node 82178 is connected to Node 53551. Node 82178 is connected to Node 16420. Node 137219 is connected to Node 113871. Node 137219 is connected to Node 118006. Node 137219 is connected to Node 38867. Node 137219 is connected to Node 16420. Node 137219 is connected to Node 20663. Node 137219 is connected to Node 113322. Node 137219 is connected to Node 119920. Node 137219 is connected to Node 43448. Node 137219 is connected to Node 142855. Node 137219 is connected to Node 89784. Node 14341 is connected to Node 132659. Node 14341 is connected to Node 115554. Node 14341 is connected to Node 16420. Node 106885 is connected to Node 16420. Node 106885 is connected to Node 118006. Node 106885 is connected to Node 157147. Node 106885 is connected to Node 142855. Node 142855 is connected to Node 118006. Node 142855 is connected to Node 132659. Node 142855 is connected to Node 16420. Node 142855 is connected to Node 119920. Node 142855 is connected to Node 126583. Node 142855 is connected to Node 65981. Node 142855 is connected to Node 43448. Node 20371 is connected to Node 16420. Node 151955 is connected to Node 115554. Node 151955 is connected to Node 16420. Node 151955 is connected to Node 155102. Node 149655 is connected to Node 110273. Node 149655 is connected to Node 16420. Node 149655 is connected to Node 60631. Node 83106 is connected to Node 52209. Node 83106 is connected to Node 16420. Node 16420 is connected to Node 148414. Node 16420 is connected to Node 113871. Node 16420 is connected to Node 90150. Node 16420 is connected to Node 26619. Node 16420 is connected to Node 94170. Node 16420 is connected to Node 77092. Node 16420 is connected to Node 106026. Node 16420 is connected to Node 118006. Node 16420 is connected to Node 152402. Node 16420 is connected to Node 151112. Node 16420 is connected to Node 155102. Node 16420 is connected to Node 119348. Node 16420 is connected to Node 131304. Node 16420 is connected to Node 132659. Node 16420 is connected to Node 141897. Node 16420 is connected to Node 22873. Node 16420 is connected to Node 115554. Node 16420 is connected to Node 156528. Node 16420 is connected to Node 53551. Node 16420 is connected to Node 38867. Node 16420 is connected to Node 52209. Node 16420 is connected to Node 110273. Node 16420 is connected to Node 17711. Node 16420 is connected to Node 20663. Node 16420 is connected to Node 90824. Node 16420 is connected to Node 92124. Node 16420 is connected to Node 65877. Node 16420 is connected to Node 113322. Node 16420 is connected to Node 163635. Node 16420 is connected to Node 60631. Node 16420 is connected to Node 119920. Node 16420 is connected to Node 43380. Node 16420 is connected to Node 105386. Node 16420 is connected to Node 100184. Node 16420 is connected to Node 126583. Node 16420 is connected to Node 167656. Node 16420 is connected to Node 65981. Node 16420 is connected to Node 43448. Node 16420 is connected to Node 157147. Node 16420 is connected to Node 32749. Node 16420 is connected to Node 89784. Node 16420 is connected to Node 63408. Node 16420 is connected to Node 148057. Node 77092 is connected to Node 53551. Node 77092 is connected to Node 20663. Node 90150 is connected to Node 65981. Node 106026 is connected to Node 118006. Node 113322 is connected to Node 38867. Node 113322 is connected to Node 20663. Node 113322 is connected to Node 113871. Node 113322 is connected to Node 89784. Node 105386 is connected to Node 115554. Node 53551 is connected to Node 155102. Node 53551 is connected to Node 115554. Node 132659 is connected to Node 118006. Node 132659 is connected to Node 22873. Node 132659 is connected to Node 115554. Node 132659 is connected to Node 20663. Node 119348 is connected to Node 148414. Node 20663 is connected to Node 113871. Node 20663 is connected to Node 89784. Node 43448 is connected to Node 113871. Node 43448 is connected to Node 115554. Node 43448 is connected to Node 92124. Node 89784 is connected to Node 38867. Node 89784 is connected to Node 113871. Node 89784 is connected to Node 118006. Node 89784 is connected to Node 156528. Node 148414 is connected to Node 115554. Node 110273 is connected to Node 60631. Node 141897 is connected to Node 22873. Node 141897 is connected to Node 115554. Node 90824 is connected to Node 155102. Node 90824 is connected to Node 115554. Node 113871 is connected to Node 38867. Node 152402 is connected to Node 155102. Node 38867 is connected to Node 118006. Node 38867 is connected to Node 115554. Node 38867 is connected to Node 156528. Node 38867 is connected to Node 167656. Node 65877 is connected to Node 118006. Node 65877 is connected to Node 115554. Node 65877 is connected to Node 126583. Node 60631 is connected to Node 100184. Node 22873 is connected to Node 118006. Node 155102 is connected to Node 115554. Node 115554 is connected to Node 118006. Node 115554 is connected to Node 131304. Node 115554 is connected to Node 126583. 
Node to Label Mapping : 
Node 33152: Label 34| Node 82178: Label 34| Node 137219: Label 20| Node 14341: Label 20| Node 106885: Label ?| Node 142855: Label 34| Node 20371: Label 34| Node 151955: Label 39| Node 149655: Label 34| Node 83106: Label 20| Node 16420: Label 20| Node 77092: Label 20| Node 90150: Label 34| Node 106026: Label 20| Node 113322: Label 20| Node 105386: Label 34| Node 53551: Label 20| Node 17711: Label 34| Node 63408: Label 39| Node 132659: Label 39| Node 119348: Label 20| Node 163635: Label 34| Node 20663: Label 20| Node 43448: Label 20| Node 89784: Label 20| Node 65981: Label 34| Node 148414: Label 20| Node 110273: Label 20| Node 151112: Label 34| Node 141897: Label 39| Node 90824: Label 20| Node 113871: Label 39| Node 152402: Label 20| Node 38867: Label 20| Node 65877: Label 20| Node 60631: Label 20| Node 100184: Label 20| Node 22873: Label 39| Node 94170: Label 20| Node 157147: Label 20| Node 92124: Label 20| Node 148057: Label 34| Node 155102: Label 20| Node 115554: Label 20| Node 131304: Label 20| Node 167656: Label 20| Node 32749: Label 34| Node 156528: Label 20| Node 52209: Label 34| Node 119920: Label 34| Node 43380: Label 20| Node 118006: Label 20| Node 126583: Label 20| Node 26619: Label 20| ```
                                ""","""Label of Node = 20""",
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 15365 is connected to Node 2580. Node 164402 is connected to Node 2580. Node 2580 is connected to Node 106204. Node 2580 is connected to Node 98584. Node 2580 is connected to Node 67166. 
Node to Label Mapping : 
Node 15365: Label 24| Node 164402: Label ?| Node 2580: Label 16| Node 98584: Label 16| Node 106204: Label 16| Node 67166: Label 16| ```
                                ""","""Label of Node = 16""",
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 165065 is connected to Node 163204. 
Node to Label Mapping : 
Node 165065: Label 16| Node 163204: Label ?| ```
                                ""","""Label of Node = 16""",
5,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 166572: Label ?| ```
                                ""","""Label of Node = -1""",
24,26,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 60424 is connected to Node 107257. Node 60424 is connected to Node 100915. Node 80648 is connected to Node 107257. Node 80648 is connected to Node 100915. Node 16651 is connected to Node 107257. Node 16651 is connected to Node 100915. Node 21648 is connected to Node 100915. Node 21648 is connected to Node 18371. Node 37011 is connected to Node 100915. Node 6300 is connected to Node 107257. Node 6300 is connected to Node 100915. Node 21533 is connected to Node 100915. Node 17957 is connected to Node 107257. Node 17957 is connected to Node 100915. Node 22437 is connected to Node 100915. Node 97191 is connected to Node 107257. Node 97191 is connected to Node 100915. Node 56872 is connected to Node 100915. Node 124586 is connected to Node 100915. Node 80561 is connected to Node 100915. Node 100915 is connected to Node 107257. Node 100915 is connected to Node 487. Node 100915 is connected to Node 97148. Node 100915 is connected to Node 95958. Node 100915 is connected to Node 93391. Node 100915 is connected to Node 51193. Node 100915 is connected to Node 96076. Node 100915 is connected to Node 51567. Node 100915 is connected to Node 18371. Node 100915 is connected to Node 10190. Node 100915 is connected to Node 93806. Node 100915 is connected to Node 89937. Node 100915 is connected to Node 78038. Node 100915 is connected to Node 43734. Node 18371 is connected to Node 107257. Node 10190 is connected to Node 107257. Node 93391 is connected to Node 107257. Node 43734 is connected to Node 107257. Node 95958 is connected to Node 107257. Node 487 is connected to Node 107257. Node 93806 is connected to Node 107257. Node 107257 is connected to Node 51193. 
Node to Label Mapping : 
Node 60424: Label 24| Node 80648: Label 24| Node 16651: Label 26| Node 21648: Label 26| Node 37011: Label 24| Node 6300: Label 24| Node 21533: Label 26| Node 17957: Label 26| Node 22437: Label 24| Node 97191: Label 26| Node 56872: Label 26| Node 124586: Label 24| Node 80561: Label ?| Node 100915: Label 26| Node 18371: Label 24| Node 96076: Label 24| Node 10190: Label 24| Node 93391: Label 24| Node 89937: Label 37| Node 43734: Label 24| Node 78038: Label 24| Node 95958: Label 24| Node 487: Label 26| Node 93806: Label 26| Node 51567: Label 26| Node 107257: Label 24| Node 51193: Label 24| Node 97148: Label 26| ```
                                ""","""Label of Node = 26""",
28,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 63845 is connected to Node 35311. Node 63845 is connected to Node 46214. 
Node to Label Mapping : 
Node 63845: Label ?| Node 46214: Label 8| Node 35311: Label 28| ```
                                ""","""Label of Node = -1""",
28,28,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 162328 is connected to Node 122202. 
Node to Label Mapping : 
Node 162328: Label 28| Node 122202: Label ?| ```
                                ""","""Label of Node = 28""",
16,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 147831: Label ?| ```
                                ""","""Label of Node = -1""",
