GroundTruth,Parsed Value,Prompt,Response,Error
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(117249, 90465), (117249, 48287), (117249, 21682), (117249, 12251), (117249, 21737), (117249, 45708), (117249, 81355), (117249, 40424), (117249, 86672), (117249, 78825), (117249, 43132), (117249, 56444), (117249, 1994), (117249, 28468), (117249, 48493), (117249, 74968), (117249, 78860), (117249, 85396), (117249, 3337), (117249, 56485), (117249, 67058), (117249, 4647), (117249, 73740), (117249, 48559), (117249, 63108), (117249, 75097), (117249, 3450), (117249, 60586), (117249, 44645), (117249, 32628), (117249, 68612), (117249, 60680), (117249, 15551), (117249, 81774), (117249, 48881), (117249, 26200), (117249, 80512), (117249, 12847), (117249, 22245), (117249, 39581), (117249, 7487), (117249, 23659), (117249, 3708), (117249, 44939), (117249, 77991), (117249, 64861), (117249, 47697), (117249, 49154), (49154, 90465), (49154, 73740), (49154, 104194), (67587, 90465), (68612, 90465), (12294, 90465), (13833, 90465), (74763, 90465), (73740, 108784), (73740, 90465), (73740, 86672), (78860, 90465), (78860, 81355), (88597, 90465), (72218, 90465), (25117, 90465), (25117, 48287), (25117, 44645), (88098, 90465), (4647, 90465), (4647, 48287), (4647, 12251), (4647, 44645), (41001, 90465), (41001, 44645), (32301, 90465), (12847, 90465), (70191, 90465), (72242, 45708), (72242, 90465), (72242, 56485), (72242, 48881), (72242, 3708), (36406, 32347), (36406, 90465), (36406, 73446), (36406, 45708), (36406, 44645), (36406, 38063), (36406, 56763), (36406, 48881), (36406, 1994), (36406, 28518), (36406, 19291), (36406, 32504), (36406, 15642), (36406, 3708), (36406, 2619), (2619, 90465), (2619, 73446), (2619, 28518), (2619, 44645), (2619, 48881), (4672, 90465), (47697, 90465), (88662, 90465), (26200, 90465), (32347, 90465), (32347, 73446), (32347, 28518), (32347, 15642), (56928, 90465), (44645, 28518), (44645, 19291), (44645, 16615), (44645, 21905), (44645, 90465), (44645, 48287), (44645, 22245), (44645, 7487), (44645, 23659), (44645, 3708), (44645, 31677), (58985, 90465), (23659, 90465), (23659, 73446), (23659, 56444), (23659, 48881), (54380, 107463), (54380, 90465), (43132, 90465), (56444, 90465), (3708, 90465), (3708, 38063), (3708, 48881), (45695, 90465), (2175, 90465), (2175, 104194), (80512, 90465), (63108, 90465), (63108, 104194), (45708, 107463), (45708, 90465), (45708, 73446), (45708, 48287), (45708, 28468), (45708, 19291), (86672, 90465), (45721, 90465), (45721, 104194), (39581, 90465), (48287, 90465), (48287, 1994), (48287, 19291), (48287, 43334), (48287, 22245), (48287, 31677), (672, 90465), (56485, 90465), (56485, 78825), (77991, 90465), (77991, 1240), (60586, 90465), (38063, 3337), (38063, 90465), (38063, 73446), (3248, 90465), (21682, 108784), (21682, 90465), (79035, 90465), (15551, 90465), (59594, 90465), (59594, 104194), (72909, 90465), (72909, 104194), (85207, 90465), (1240, 90465), (1240, 32504), (1240, 48881), (74968, 90465), (87256, 90465), (22245, 90465), (22245, 32628), (35045, 108784), (35045, 90465), (16615, 90465), (73446, 90465), (73446, 28518), (73446, 32504), (73446, 56763), (73446, 48881), (21737, 107463), (21737, 90465), (108784, 90465), (108784, 81355), (108784, 1994), (108784, 28468), (108784, 43334), (108784, 32628), (108784, 64861), (48881, 1994), (48881, 3337), (48881, 28518), (48881, 3450), (48881, 43334), (48881, 90465), (48881, 104194), (48881, 7487), (48881, 15642), (32504, 90465), (104194, 90465), (104194, 40424), (104194, 19313), (104194, 60680), (44293, 90465), (46342, 90465), (60680, 90465), (3337, 90465), (64792, 90465), (15642, 90465), (15642, 67058), (15642, 32628), (82714, 90465), (85796, 90465), (28468, 90465), (7487, 90465), (7487, 67058), (44355, 90465), (9030, 90465), (9030, 48493), (9030, 19291), (43334, 90465), (75097, 19291), (75097, 90465), (19291, 90465), (64861, 90465), (90465, 107463), (90465, 472), (90465, 62824), (90465, 12222), (90465, 12237), (90465, 53651), (90465, 12251), (90465, 81355), (90465, 40424), (90465, 78825), (90465, 1994), (90465, 51135), (90465, 48493), (90465, 55179), (90465, 85396), (90465, 64376), (90465, 67058), (90465, 28518), (90465, 48559), (90465, 21905), (90465, 19313), (90465, 28603), (90465, 3450), (90465, 32628), (90465, 8611), (90465, 56763), (90465, 81774), (90465, 44939), (90465, 51650), (90465, 58287), (90465, 22391), (90465, 31677), (90465, 58361), (28518, 48493), (32628, 21905), (32628, 31677), (44939, 56763), (12222, 1994)]
Node to Label Mapping : 
Node 117249: Label 16| Node 49154: Label 16| Node 67587: Label 16| Node 68612: Label 24| Node 12294: Label 24| Node 13833: Label 16| Node 74763: Label 16| Node 73740: Label 16| Node 78860: Label 16| Node 88597: Label 16| Node 72218: Label 16| Node 25117: Label 16| Node 88098: Label ?| Node 4647: Label 16| Node 41001: Label 16| Node 32301: Label 16| Node 12847: Label 16| Node 70191: Label 24| Node 72242: Label 16| Node 36406: Label 16| Node 2619: Label 16| Node 4672: Label 16| Node 47697: Label 16| Node 88662: Label 16| Node 26200: Label 16| Node 32347: Label 16| Node 56928: Label 16| Node 44645: Label 16| Node 58985: Label 16| Node 23659: Label 16| Node 54380: Label 16| Node 43132: Label 16| Node 56444: Label 16| Node 3708: Label 16| Node 45695: Label 13| Node 2175: Label 16| Node 80512: Label 16| Node 63108: Label 16| Node 45708: Label 16| Node 86672: Label 16| Node 45721: Label 16| Node 39581: Label 16| Node 48287: Label 16| Node 672: Label 16| Node 56485: Label 1| Node 77991: Label 16| Node 60586: Label 16| Node 38063: Label 16| Node 3248: Label 16| Node 21682: Label 16| Node 79035: Label 16| Node 15551: Label 16| Node 59594: Label 5| Node 72909: Label 16| Node 85207: Label 16| Node 1240: Label 16| Node 74968: Label 16| Node 87256: Label 16| Node 22245: Label 16| Node 35045: Label 16| Node 16615: Label 16| Node 73446: Label 16| Node 21737: Label 16| Node 108784: Label 16| Node 48881: Label 16| Node 32504: Label 16| Node 104194: Label 16| Node 44293: Label 16| Node 46342: Label 16| Node 60680: Label 16| Node 3337: Label 16| Node 64792: Label 16| Node 15642: Label 16| Node 82714: Label 16| Node 85796: Label 16| Node 28468: Label 16| Node 7487: Label 16| Node 44355: Label 16| Node 9030: Label 16| Node 43334: Label 16| Node 75097: Label 16| Node 19291: Label 16| Node 64861: Label 16| Node 90465: Label 16| Node 28518: Label 16| Node 62824: Label 16| Node 48493: Label 16| Node 81774: Label 16| Node 19313: Label 16| Node 32628: Label 16| Node 22391: Label 16| Node 64376: Label 16| Node 3450: Label 16| Node 44939: Label 16| Node 55179: Label 16| Node 21905: Label 16| Node 53651: Label 16| Node 85396: Label 16| Node 8611: Label 16| Node 48559: Label 16| Node 58287: Label 16| Node 56763: Label 16| Node 28603: Label 16| Node 31677: Label 16| Node 12222: Label 16| Node 51135: Label 16| Node 51650: Label 16| Node 107463: Label 16| Node 1994: Label 16| Node 81355: Label 16| Node 12237: Label 16| Node 472: Label 16| Node 12251: Label 16| Node 40424: Label 16| Node 78825: Label 16| Node 67058: Label 16| Node 58361: Label 16| ```
                                ""","""Label of Node = 16""",
5,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: []
Node to Label Mapping : 
Node 42127: Label ?| ```
                                ""","""Label of Node = -1""",
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(68037, 119987), (68037, 21714), (68037, 11435), (68037, 1172), (58630, 21714), (58630, 11435), (58630, 1172), (1353, 1172), (11435, 21714), (11435, 1172), (21714, 119987), (21714, 1172), (153011, 1172), (1172, 120826), (1172, 119987)]
Node to Label Mapping : 
Node 68037: Label 16| Node 58630: Label ?| Node 1353: Label 24| Node 11435: Label 16| Node 21714: Label 16| Node 153011: Label 16| Node 1172: Label 16| Node 119987: Label 16| Node 120826: Label 16| ```
                                ""","""Label of Node = 16""",
34,34,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(45284, 140281), (4870, 140281), (4870, 167630), (33161, 140281), (167630, 140281)]
Node to Label Mapping : 
Node 45284: Label 34| Node 4870: Label 34| Node 33161: Label 34| Node 167630: Label 34| Node 140281: Label ?| ```
                                ""","""Label of Node = 34""",
38,38,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(12665, 10778), (12665, 86109), (12665, 122421)]
Node to Label Mapping : 
Node 12665: Label 38| Node 10778: Label 38| Node 122421: Label 37| Node 86109: Label ?| ```
                                ""","""Label of Node = 38""",
24,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(68037, 111390), (68037, 24983), (114630, 24983), (26900, 24983), (38581, 24983), (24983, 111390), (24983, 143963)]
Node to Label Mapping : 
Node 68037: Label 16| Node 114630: Label 34| Node 26900: Label 24| Node 38581: Label 18| Node 24983: Label ?| Node 143963: Label 16| Node 111390: Label 16| ```
                                ""","""Label of Node = 16""",
22,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(96091, 163039)]
Node to Label Mapping : 
Node 96091: Label ?| Node 163039: Label 22| ```
                                ""","""Label of Node = -1""",
24,24,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(2083, 115673), (66020, 115673), (11269, 115673), (85283, 115673), (76232, 115673), (76232, 59379), (64937, 115673), (101710, 115673), (59379, 21942), (59379, 115673), (92020, 115673), (31701, 115673), (21942, 115673), (115673, 61819)]
Node to Label Mapping : 
Node 2083: Label 33| Node 66020: Label 24| Node 11269: Label 24| Node 85283: Label 24| Node 76232: Label ?| Node 64937: Label 10| Node 101710: Label 24| Node 59379: Label 24| Node 92020: Label 24| Node 31701: Label 6| Node 21942: Label 24| Node 115673: Label 24| Node 61819: Label 24| ```
                                ""","""Label of Node = 24""",
30,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: []
Node to Label Mapping : 
Node 154265: Label ?| ```
                                ""","""Label of Node = -1""",
27,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(84083, 39228)]
Node to Label Mapping : 
Node 84083: Label ?| Node 39228: Label 27| ```
                                ""","""Label of Node = -1""",
