GroundTruth,Parsed Value,Prompt,Response,Error
28,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 149789: Label ?| ```
                                ""","""Label of Node = -1""",
33,20,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 41184 is connected to Node 150980. Node 41184 is connected to Node 143072. Node 143072 is connected to Node 168195. Node 20003 is connected to Node 168195. Node 20003 is connected to Node 54027. Node 20003 is connected to Node 42107. Node 20003 is connected to Node 52839. Node 20003 is connected to Node 161209. Node 150980 is connected to Node 91410. Node 150980 is connected to Node 139027. Node 150980 is connected to Node 129111. Node 150980 is connected to Node 54027. Node 150980 is connected to Node 42107. Node 150980 is connected to Node 52839. Node 168195 is connected to Node 128291. Node 168195 is connected to Node 139027. Node 168195 is connected to Node 157746. Node 168195 is connected to Node 129111. Node 168195 is connected to Node 54027. Node 168195 is connected to Node 42107. Node 168195 is connected to Node 52839. Node 128291 is connected to Node 161209. Node 52839 is connected to Node 42107. Node 52839 is connected to Node 91410. Node 52839 is connected to Node 139027. Node 52839 is connected to Node 129111. Node 54027 is connected to Node 91410. Node 54027 is connected to Node 139027. Node 54027 is connected to Node 42107. Node 91410 is connected to Node 139027. Node 91410 is connected to Node 161209. Node 139027 is connected to Node 129111. Node 139027 is connected to Node 42107. Node 161209 is connected to Node 42107. 
Node to Label Mapping : 
Node 41184: Label 20| Node 143072: Label 39| Node 20003: Label 9| Node 150980: Label 20| Node 168195: Label 20| Node 128291: Label ?| Node 52839: Label 20| Node 54027: Label 20| Node 91410: Label 20| Node 139027: Label 20| Node 157746: Label 39| Node 129111: Label 20| Node 161209: Label 39| Node 42107: Label 20| ```
                                ""","""Label of Node = 20""",
27,27,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 60389 is connected to Node 113465. Node 21671 is connected to Node 113465. Node 61481 is connected to Node 113465. Node 72750 is connected to Node 113465. Node 1684 is connected to Node 113465. Node 111863 is connected to Node 113465. Node 113465 is connected to Node 17692. Node 113465 is connected to Node 100347. 
Node to Label Mapping : 
Node 60389: Label 27| Node 21671: Label 6| Node 61481: Label 27| Node 72750: Label 27| Node 1684: Label 27| Node 111863: Label 27| Node 113465: Label 27| Node 100347: Label 27| Node 17692: Label ?| ```
                                ""","""Label of Node = 27""",
29,32,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 135181 is connected to Node 55699. Node 135181 is connected to Node 7624. Node 143758 is connected to Node 137311. Node 143758 is connected to Node 55699. Node 143758 is connected to Node 7624. Node 114832 is connected to Node 43419. Node 114832 is connected to Node 101611. Node 114832 is connected to Node 55699. Node 114832 is connected to Node 7624. Node 124818 is connected to Node 17967. Node 42003 is connected to Node 17967. Node 42003 is connected to Node 7624. Node 55699 is connected to Node 63708. Node 55699 is connected to Node 112675. Node 55699 is connected to Node 167291. Node 55699 is connected to Node 101611. Node 55699 is connected to Node 137311. Node 55699 is connected to Node 7624. Node 50963 is connected to Node 17967. Node 65946 is connected to Node 7624. Node 43419 is connected to Node 7624. Node 112675 is connected to Node 7624. Node 118179 is connected to Node 49595. Node 118179 is connected to Node 7624. Node 49595 is connected to Node 7624. Node 7624 is connected to Node 63708. Node 7624 is connected to Node 137837. Node 7624 is connected to Node 10743. Node 7624 is connected to Node 167291. Node 7624 is connected to Node 101611. Node 7624 is connected to Node 137311. Node 137311 is connected to Node 137837. Node 137311 is connected to Node 167291. 
Node to Label Mapping : 
Node 135181: Label 24| Node 143758: Label 32| Node 114832: Label 32| Node 124818: Label 22| Node 42003: Label 22| Node 55699: Label 32| Node 50963: Label 24| Node 65946: Label 32| Node 43419: Label 32| Node 112675: Label 34| Node 118179: Label 22| Node 17967: Label 22| Node 49595: Label 22| Node 7624: Label 32| Node 63708: Label ?| Node 137311: Label 32| Node 101611: Label 32| Node 137837: Label 0| Node 10743: Label 14| Node 167291: Label 32| ```
                                ""","""Label of Node = 32""",
3,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 161892 is connected to Node 136023. Node 161892 is connected to Node 137326. Node 161892 is connected to Node 66226. Node 137326 is connected to Node 136023. Node 156465 is connected to Node 136023. Node 66226 is connected to Node 136023. Node 136023 is connected to Node 9018. 
Node to Label Mapping : 
Node 161892: Label 4| Node 137326: Label 27| Node 156465: Label 27| Node 66226: Label ?| Node 136023: Label 27| Node 9018: Label 5| ```
                                ""","""Label of Node = -1""",
28,28,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 39426 is connected to Node 128472. Node 39426 is connected to Node 147816. Node 39426 is connected to Node 80361. Node 139779 is connected to Node 145815. Node 139779 is connected to Node 146495. Node 41222 is connected to Node 146495. Node 96905 is connected to Node 146495. Node 89870 is connected to Node 146495. Node 118674 is connected to Node 145815. Node 118674 is connected to Node 146495. Node 145815 is connected to Node 27956. Node 145815 is connected to Node 146495. Node 145815 is connected to Node 49335. Node 145815 is connected to Node 139168. Node 145815 is connected to Node 3007. Node 145815 is connected to Node 129098. Node 145815 is connected to Node 72540. Node 145815 is connected to Node 132032. Node 145815 is connected to Node 26168. Node 145815 is connected to Node 142643. Node 145815 is connected to Node 15600. Node 60576 is connected to Node 129098. Node 60576 is connected to Node 146495. Node 139168 is connected to Node 146495. Node 142643 is connected to Node 146495. Node 27956 is connected to Node 146495. Node 27956 is connected to Node 3007. Node 49335 is connected to Node 146495. Node 26168 is connected to Node 146495. Node 3007 is connected to Node 146495. Node 146495 is connected to Node 128472. Node 146495 is connected to Node 69195. Node 146495 is connected to Node 129098. Node 146495 is connected to Node 72540. Node 146495 is connected to Node 55497. Node 146495 is connected to Node 132032. Node 146495 is connected to Node 15600. Node 132032 is connected to Node 129098. 
Node to Label Mapping : 
Node 39426: Label 28| Node 139779: Label 28| Node 41222: Label 28| Node 96905: Label 28| Node 89870: Label 28| Node 118674: Label 28| Node 145815: Label 28| Node 60576: Label 28| Node 139168: Label 28| Node 142643: Label 28| Node 27956: Label 28| Node 49335: Label 28| Node 26168: Label 28| Node 3007: Label 28| Node 146495: Label 28| Node 132032: Label ?| Node 55497: Label 28| Node 129098: Label 28| Node 69195: Label 28| Node 128472: Label 28| Node 72540: Label 28| Node 147816: Label 28| Node 80361: Label 28| Node 15600: Label 28| ```
                                ""","""Label of Node = 28""",
5,0,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 33825 is connected to Node 122097. Node 33825 is connected to Node 44668. Node 33825 is connected to Node 146745. Node 85923 is connected to Node 122097. Node 85923 is connected to Node 140846. Node 85923 is connected to Node 146745. Node 85923 is connected to Node 96355. Node 96355 is connected to Node 25431. Node 96355 is connected to Node 79269. Node 122375 is connected to Node 146745. Node 140846 is connected to Node 133087. Node 140846 is connected to Node 44668. Node 122097 is connected to Node 44668. Node 146745 is connected to Node 133087. 
Node to Label Mapping : 
Node 33825: Label 5| Node 85923: Label ?| Node 96355: Label 34| Node 79269: Label 5| Node 122375: Label 0| Node 140846: Label 0| Node 122097: Label 5| Node 25431: Label 5| Node 146745: Label 0| Node 44668: Label 0| Node 133087: Label 0| ```
                                ""","""Label of Node = 0""",
6,6,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 110204 is connected to Node 78653. 
Node to Label Mapping : 
Node 110204: Label 6| Node 78653: Label ?| ```
                                ""","""Label of Node = 6""",
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 47264 is connected to Node 167226. Node 102596 is connected to Node 167226. Node 1094 is connected to Node 167226. Node 4454 is connected to Node 167226. Node 158122 is connected to Node 167226. Node 158122 is connected to Node 85328. Node 80586 is connected to Node 167226. Node 114507 is connected to Node 167226. 
Node to Label Mapping : 
Node 47264: Label 16| Node 102596: Label 16| Node 1094: Label 16| Node 4454: Label 16| Node 158122: Label 16| Node 80586: Label 16| Node 114507: Label 16| Node 85328: Label 16| Node 167226: Label ?| ```
                                ""","""Label of Node = 16""",
4,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 74348: Label ?| ```
                                ""","""Label of Node = -1""",
