GroundTruth,Parsed Value,Prompt,Response,Error
16,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 10838: Label ?| ```
                                ""","""Label of Node = -1""",
4,26,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 103936 is connected to Node 25102. Node 25102 is connected to Node 127663. Node 25102 is connected to Node 122359. Node 25102 is connected to Node 167599. Node 25102 is connected to Node 167786. Node 45968 is connected to Node 9379. Node 45968 is connected to Node 99651. Node 9379 is connected to Node 71134. Node 9379 is connected to Node 79185. Node 9379 is connected to Node 167786. Node 143017 is connected to Node 99651. Node 143017 is connected to Node 127663. Node 127663 is connected to Node 167786. Node 167599 is connected to Node 122359. Node 87614 is connected to Node 167786. Node 87614 is connected to Node 49647. Node 87614 is connected to Node 80199. Node 87614 is connected to Node 79300. Node 146882 is connected to Node 167786. Node 99651 is connected to Node 94814. Node 104526 is connected to Node 94814. Node 94814 is connected to Node 167786. Node 147683 is connected to Node 167786. 
Node to Label Mapping : 
Node 103936: Label ?| Node 25102: Label 4| Node 45968: Label 26| Node 9379: Label 26| Node 143017: Label 26| Node 127663: Label 26| Node 167599: Label 4| Node 87614: Label 26| Node 146882: Label 26| Node 99651: Label 26| Node 79300: Label 24| Node 80199: Label 24| Node 104526: Label 26| Node 79185: Label 26| Node 71134: Label 10| Node 94814: Label 26| Node 147683: Label 6| Node 167786: Label 26| Node 49647: Label 3| Node 122359: Label 4| ```
                                ""","""Label of Node = 26""",
30,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 166168: Label ?| ```
                                ""","""Label of Node = -1""",
36,36,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 23232 is connected to Node 155818. Node 23232 is connected to Node 18002. Node 19814 is connected to Node 159377. Node 19814 is connected to Node 155818. Node 64198 is connected to Node 155818. Node 155818 is connected to Node 103548. Node 155818 is connected to Node 21872. Node 155818 is connected to Node 18002. Node 155818 is connected to Node 159377. Node 155818 is connected to Node 164991. Node 155818 is connected to Node 149425. Node 155818 is connected to Node 88592. Node 155818 is connected to Node 148247. Node 88592 is connected to Node 164991. Node 148247 is connected to Node 164991. 
Node to Label Mapping : 
Node 23232: Label 36| Node 19814: Label 36| Node 64198: Label 36| Node 155818: Label 36| Node 21872: Label 36| Node 149425: Label ?| Node 18002: Label 26| Node 88592: Label 36| Node 159377: Label 36| Node 148247: Label 36| Node 103548: Label 36| Node 164991: Label 36| ```
                                ""","""Label of Node = 36""",
24,3,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 82953 is connected to Node 167146. Node 82953 is connected to Node 33063. Node 107897 is connected to Node 167146. Node 112398 is connected to Node 167146. Node 128911 is connected to Node 167146. Node 7058 is connected to Node 167146. Node 135574 is connected to Node 167146. Node 135574 is connected to Node 129570. Node 75545 is connected to Node 167146. Node 138267 is connected to Node 167146. Node 162078 is connected to Node 167146. Node 162078 is connected to Node 129570. Node 129570 is connected to Node 74977. Node 129570 is connected to Node 167146. Node 33063 is connected to Node 167146. Node 33063 is connected to Node 154559. Node 33063 is connected to Node 78027. Node 99883 is connected to Node 167146. Node 126893 is connected to Node 167146. Node 1844 is connected to Node 167146. Node 115765 is connected to Node 167146. Node 154559 is connected to Node 167146. Node 106945 is connected to Node 167146. Node 158275 is connected to Node 167146. Node 76870 is connected to Node 167146. Node 19144 is connected to Node 167146. Node 78027 is connected to Node 167146. Node 78027 is connected to Node 122201. Node 39636 is connected to Node 167146. Node 122201 is connected to Node 167146. Node 122201 is connected to Node 110975. Node 85467 is connected to Node 167146. Node 86623 is connected to Node 167146. Node 74977 is connected to Node 167146. Node 97638 is connected to Node 167146. Node 167146 is connected to Node 30970. Node 167146 is connected to Node 110975. Node 167146 is connected to Node 97785. 
Node to Label Mapping : 
Node 82953: Label 24| Node 107897: Label 3| Node 112398: Label 3| Node 128911: Label 3| Node 7058: Label 10| Node 135574: Label 24| Node 75545: Label 3| Node 138267: Label 24| Node 162078: Label 31| Node 129570: Label 3| Node 33063: Label 24| Node 99883: Label 10| Node 126893: Label 10| Node 1844: Label 24| Node 115765: Label 10| Node 154559: Label 34| Node 106945: Label 31| Node 158275: Label 24| Node 76870: Label 3| Node 19144: Label 10| Node 78027: Label 36| Node 39636: Label 3| Node 122201: Label 24| Node 85467: Label 24| Node 86623: Label 24| Node 74977: Label 24| Node 97638: Label ?| Node 167146: Label 3| Node 97785: Label 10| Node 30970: Label 24| Node 110975: Label 24| ```
                                ""","""Label of Node = 3""",
20,17,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 144781 is connected to Node 86718. Node 94421 is connected to Node 86718. Node 135515 is connected to Node 86718. Node 94813 is connected to Node 86718. 
Node to Label Mapping : 
Node 144781: Label 20| Node 94421: Label ?| Node 135515: Label 17| Node 94813: Label 17| Node 86718: Label 17| ```
                                ""","""Label of Node = 17""",
10,9,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 157697 is connected to Node 59573. Node 157697 is connected to Node 30314. Node 106121 is connected to Node 142640. Node 106121 is connected to Node 30314. Node 55305 is connected to Node 142640. Node 55305 is connected to Node 30314. Node 78991 is connected to Node 130793. Node 78991 is connected to Node 30314. Node 138144 is connected to Node 112766. Node 138144 is connected to Node 98596. Node 138144 is connected to Node 15290. Node 138144 is connected to Node 123857. Node 138144 is connected to Node 18485. Node 98596 is connected to Node 105450. Node 98596 is connected to Node 24941. Node 98596 is connected to Node 30314. Node 142640 is connected to Node 130793. Node 142640 is connected to Node 30314. Node 156978 is connected to Node 163671. Node 156978 is connected to Node 157170. Node 156978 is connected to Node 24941. Node 59573 is connected to Node 105450. Node 59573 is connected to Node 30314. Node 18485 is connected to Node 112766. Node 18485 is connected to Node 105450. Node 11833 is connected to Node 105450. Node 89046 is connected to Node 30314. Node 163671 is connected to Node 24941. Node 42199 is connected to Node 30314. Node 130793 is connected to Node 30314. Node 105450 is connected to Node 24941. Node 104042 is connected to Node 24941. Node 24941 is connected to Node 157170. 
Node to Label Mapping : 
Node 157697: Label 2| Node 106121: Label ?| Node 55305: Label 2| Node 78991: Label 9| Node 138144: Label 10| Node 98596: Label 10| Node 142640: Label 9| Node 156978: Label 10| Node 59573: Label 2| Node 18485: Label 2| Node 11833: Label 10| Node 15290: Label 10| Node 123857: Label 2| Node 89046: Label 34| Node 163671: Label 2| Node 42199: Label 2| Node 130793: Label 9| Node 105450: Label 10| Node 30314: Label 9| Node 104042: Label 2| Node 24941: Label 10| Node 157170: Label 10| Node 112766: Label 10| ```
                                ""","""Label of Node = 9""",
22,2,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 36769 is connected to Node 92318. Node 134664 is connected to Node 92318. Node 134664 is connected to Node 30161. Node 30161 is connected to Node 92318. Node 7927 is connected to Node 92318. Node 13080 is connected to Node 92318. 
Node to Label Mapping : 
Node 36769: Label 22| Node 134664: Label 2| Node 30161: Label ?| Node 7927: Label 22| Node 13080: Label 2| Node 92318: Label 2| ```
                                ""","""Label of Node = 2""",
24,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: 
Node to Label Mapping : 
Node 158703: Label ?| ```
                                ""","""Label of Node = -1""",
38,38,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: Node 118016 is connected to Node 13588. Node 110277 is connected to Node 139326. Node 26398 is connected to Node 139326. Node 13588 is connected to Node 139326. 
Node to Label Mapping : 
Node 118016: Label 38| Node 110277: Label 10| Node 26398: Label 10| Node 13588: Label ?| Node 139326: Label 38| ```
                                ""","""Label of Node = 38""",
