graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,10,15,2448,4
1,6,6,7,2382,1
2,3,3,2,1396,1
3,26,6,7,1282,1
4,11,4,3,1102,4
5,10,6,7,1144,1
6,10,6,7,1144,1
7,7,6,7,1282,1
8,26,6,7,1282,1
9,6,6,7,2382,1
10,24,11,17,2452,4
11,26,6,7,1282,1
12,20,2,1,2069,4
13,5,3,2,3004,5
14,21,7,6,1072,4
15,16,2,1,2069,4
16,4,2,1,2069,4
17,3,2,1,1937,4
18,5,3,2,3004,5
19,9,2,1,2069,4
20,10,2,1,1937,4
21,19,3,2,2345,5
22,22,4,3,83,4
23,3,2,1,1937,4
24,20,2,1,2069,4
25,9,2,1,2069,4
26,25,7,6,1072,4
27,23,5,4,83,4
28,25,7,6,1072,4
29,20,2,1,2069,4
30,16,2,1,2069,4
31,10,2,1,1937,4
32,17,7,6,1072,4
33,21,12,32,1605,2
34,11,7,11,2637,2
35,28,11,19,2599,2
36,30,20,64,1422,2
37,3,3,2,2597,2
38,27,6,5,147,2
39,28,11,19,2599,2
40,8,8,9,2481,2
41,25,17,47,16,2
42,16,6,5,2650,2
43,13,10,17,622,2
44,11,7,11,2637,2
45,7,7,8,2596,2
46,9,5,6,2480,3
47,27,6,5,147,2
48,13,10,17,622,2
49,6,6,5,2481,2
