graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,96,3,2,12937,1
1,29,12,11,7344,1
2,18,9,12,5147,2
3,109,6,5,12066,2
4,50,15,31,5756,2
5,46,32,65,15995,2
6,43,31,66,6149,2
7,32,28,56,15995,2
8,109,25,52,9587,2
9,28,9,12,16234,2
10,101,14,20,8384,2
11,109,57,166,8629,2
12,84,20,19,99,1
13,26,5,4,2361,2
14,90,23,29,1612,2
15,69,12,12,11524,0
16,19,3,2,14987,0
17,18,9,11,15277,0
18,26,4,3,14987,0
19,42,10,10,12995,2
20,44,10,16,6288,1
21,79,36,105,12924,1
22,92,55,163,17684,1
23,18,6,8,6288,1
24,86,7,6,6191,2
25,40,8,7,336,2
26,106,4,4,6175,1
27,98,6,6,7701,2
28,104,28,47,18745,1
29,84,23,57,147,1
30,68,22,53,147,1
31,43,9,8,8372,1
32,72,24,59,19097,1
33,90,4,4,6528,0
34,50,20,26,15727,2
35,118,15,15,18257,0
36,15,5,4,15843,2
37,112,11,12,950,2
38,118,7,7,4247,1
39,35,21,23,14387,2
40,104,17,23,7829,1
41,69,69,101,11450,1
42,58,8,8,16168,1
43,50,22,33,8147,1
44,34,3,2,14443,1
45,42,10,12,18952,0
46,112,9,8,15761,2
47,58,20,36,7445,1
48,28,6,7,13466,1
49,26,7,6,2467,0
