258, 963
258, 1094
258, 1240
2434, 963
2434, 2399
1417, 529
1417, 963
1417, 1452
1417, 1529
1417, 1703
1417, 2260
1417, 2350
529, 2260
275, 805
275, 1967
789, 1240
789, 1703
22, 39
22, 1234
22, 1702
22, 1703
22, 2238
151, 2236
151, 2238
152, 43
152, 2238
152, 2240
29, 963
1569, 1966
1443, 963
1443, 1094
1443, 1240
1443, 2240
1443, 2399
805, 706
805, 963
805, 2236
1702, 463
1702, 1234
1702, 1240
1702, 1703
1702, 1966
1702, 1970
1702, 1971
1702, 2238
1703, 463
1703, 963
1703, 1234
1703, 1966
1703, 1967
1703, 1968
1703, 1969
1703, 1970
1703, 1971
1703, 2238
43, 963
43, 2399
43, 2400
1964, 463
1964, 1966
1966, 94
1966, 443
1966, 463
1966, 1234
1966, 1971
1968, 2034
1969, 2236
1969, 2238
2350, 1529
2236, 2237
2237, 1240
2237, 2238
2238, 706
2238, 2239
2238, 2240
2240, 963
2240, 2399
706, 963
706, 1240
963, 1094
963, 1141
963, 2399
963, 2400
