1540, 525
1540, 1628
1540, 2054
2181, 95
2181, 142
2181, 525
2181, 2074
2182, 95
2182, 525
2182, 1139
2182, 1838
2182, 2131
2182, 2133
2182, 2172
2182, 2198
2054, 95
2054, 456
2054, 525
2054, 1042
2054, 1139
2054, 1602
2054, 1628
2054, 2133
2055, 1042
2055, 1628
2055, 2198
2057, 525
2057, 1628
525, 142
525, 347
525, 408
525, 456
525, 1628
525, 2172
142, 456
142, 1628
1042, 1628
1042, 2198
2198, 751
2198, 964
408, 347
408, 734
2074, 95
2074, 1602
1838, 95
1838, 1204
434, 2133
1204, 751
1204, 1602
1463, 2131
1463, 2133
1602, 95
964, 734
964, 736
456, 95
334, 95
2131, 2133
1628, 95
1628, 1139
1628, 2172
734, 95
734, 736
734, 751
95, 736
736, 751
