setting,run,graph_id,node_with_question_mark,ground_truth,prompt,response,parsed_response,token_limit_fraction
ff,0,0,337,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1765: Label 2| Node 501: Label 2| Node 1358: Label 2| Node 1492: Label 2| Node 999: Label 2| Node 346: Label 2| Node 489: Label 2| Node 1516: Label 2| Node 337: Label ?| Node 466: Label 2| Node 757: Label 2| Node 978: Label 2| Node 985: Label 2| Node 1471: Label 2| Node 1499: Label 2| Node 1646: Label 2| Node 1724: Label 2| Node 1214: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 6| Triangle motifs attached to ? node: [['337', '1358', '1499'], ['337', '1499', '1214']]| Star motifs connected to ? node: [['1499', '1358', '1214', '337']]| ```
           ",Label of Node = 2,2,0.038330078125
ff,0,1,501,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 999: Label 2| Node 1358: Label 2| Node 489: Label 2| Node 1516: Label 2| Node 501: Label ?| Node 757: Label 2| Node 985: Label 2| Node 1471: Label 2| Node 1499: Label 2| Node 1646: Label 2| Node 1724: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 1| Triangle motifs attached to ? node: []| Star motifs connected to ? node: []| ```
           ",Label of Node = -1,-1,0.02685546875
ff,0,2,1744,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1040: Label 2| Node 1358: Label 2| Node 1765: Label 2| Node 1041: Label 2| Node 1305: Label 2| Node 466: Label 2| Node 1562: Label 2| Node 290: Label 2| Node 823: Label 2| Node 1719: Label 2| Node 1720: Label 2| Node 1724: Label 2| Node 1471: Label 2| Node 1646: Label 2| Node 1738: Label 2| Node 1740: Label 2| Node 337: Label 2| Node 346: Label 2| Node 489: Label 2| Node 501: Label 2| Node 757: Label 2| Node 978: Label 2| Node 985: Label 2| Node 999: Label 2| Node 1149: Label 2| Node 1492: Label 2| Node 1499: Label 2| Node 1516: Label 2| Node 1744: Label ?| Node 1750: Label 2| Node 1755: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 16| Triangle motifs attached to ? node: [['1765', '1744', '1358']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 2,2,0.0494384765625
ff,0,3,2391,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 489: Label 2| Node 1358: Label 2| Node 2390: Label 2| Node 2391: Label ?| Graph motif information: No of star motifs: 0| No of triangle motifs: 1| Triangle motifs attached to ? node: [['489', '2390', '2391']]| Star motifs connected to ? node: [['489', '1358', '2390', '2391']]| ```
           ",Label of Node = 2,2,0.0225830078125
ff,0,4,978,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1040: Label 2| Node 1358: Label 2| Node 1765: Label 2| Node 1305: Label 2| Node 466: Label 2| Node 823: Label 2| Node 1719: Label 2| Node 1720: Label 2| Node 1724: Label 2| Node 1471: Label 2| Node 1646: Label 2| Node 1738: Label 2| Node 337: Label 2| Node 346: Label 2| Node 489: Label 2| Node 501: Label 2| Node 757: Label 2| Node 978: Label ?| Node 985: Label 2| Node 999: Label 2| Node 1149: Label 2| Node 1492: Label 2| Node 1499: Label 2| Node 1516: Label 2| Node 1744: Label 2| Node 1750: Label 2| Node 998: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 14| Triangle motifs attached to ? node: []| Star motifs connected to ? node: []| ```
           ",Label of Node = 2,2,0.043701171875
ff,0,5,848,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1358: Label 2| Node 985: Label 2| Node 1149: Label 2| Node 848: Label ?| Node 760: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 1| Triangle motifs attached to ? node: []| Star motifs connected to ? node: []| ```
           ",Label of Node = -1,-1,0.0205078125
ff,0,6,757,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1765: Label 2| Node 501: Label 2| Node 1358: Label 2| Node 1492: Label 2| Node 999: Label 2| Node 346: Label 2| Node 489: Label 2| Node 1516: Label 2| Node 337: Label 2| Node 466: Label 2| Node 757: Label ?| Node 978: Label 2| Node 985: Label 2| Node 1471: Label 2| Node 1499: Label 2| Node 1646: Label 2| Node 1724: Label 2| Node 2421: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 5| Triangle motifs attached to ? node: []| Star motifs connected to ? node: []| ```
           ",Label of Node = 2,2,0.0340576171875
ff,0,7,501,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1765: Label 2| Node 501: Label ?| Node 1358: Label 2| Node 1492: Label 2| Node 999: Label 2| Node 346: Label 2| Node 489: Label 2| Node 1516: Label 2| Node 466: Label 2| Node 757: Label 2| Node 978: Label 2| Node 985: Label 2| Node 1471: Label 2| Node 1499: Label 2| Node 1646: Label 2| Node 1724: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 4| Triangle motifs attached to ? node: [['1765', '1358', '501']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 2,2,0.033203125
ff,0,8,95,0,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2182: Label 0| Node 95: Label ?| Node 1838: Label 0| Node 2131: Label 0| Node 2133: Label 0| Node 2197: Label 0| Node 734: Label 0| Node 736: Label 0| Node 965: Label 0| Node 1388: Label 0| Node 2201: Label 0| Node 552: Label 2| Node 2219: Label 0| Node 1204: Label 1| Node 751: Label 0| Node 1602: Label 0| Node 315: Label 0| Node 964: Label 0| Node 597: Label 3| Node 1628: Label 0| Node 1117: Label 0| Node 1631: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 13| Triangle motifs attached to ? node: [['1838', '2182', '95'], ['2197', '734', '95'], ['2197', '734', '736'], ['2197', '95', '736'], ['734', '95', '736']]| Star motifs connected to ? node: [['1838', '2219', '2182', '1204', '95'], ['1602', '1204', '315', '95'], ['1628', '597', '1117', '95']]| ```
           ",Label of Node = 0,0,0.050048828125
ff,0,9,1463,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2182: Label 0| Node 2131: Label 0| Node 2133: Label 0| Node 490: Label 5| Node 1463: Label ?| Node 555: Label 3| Node 434: Label 0| Node 276: Label 0| Node 1695: Label 0| Node 2132: Label 6| Graph motif information: No of star motifs: 0| No of triangle motifs: 6| Triangle motifs attached to ? node: [['2131', '2133', '1463'], ['2133', '1463', '276'], ['2133', '1463', '1695'], ['2133', '276', '1695'], ['1463', '276', '1695']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 0,0,0.03271484375
