graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,96,96,173,17689,0
1,29,29,33,16118,1
2,18,18,31,14041,2
3,109,109,331,12308,2
4,50,50,69,142,0
5,46,46,46,2809,2
6,43,43,81,11083,0
7,32,32,37,8428,0
8,109,109,136,15046,2
9,28,28,32,14177,1
10,101,101,254,19305,2
11,109,109,189,5329,2
12,84,84,221,5523,0
13,26,26,25,18574,0
14,90,90,107,2335,2
15,69,69,90,17238,1
16,19,19,18,4589,1
17,18,18,21,375,2
18,26,26,28,13262,0
19,42,42,42,7133,1
20,44,44,78,14119,1
21,79,79,191,4115,2
22,92,92,120,1371,1
23,18,18,19,9443,2
24,86,86,202,3590,2
25,40,40,51,16375,2
26,106,106,161,19206,1
27,98,98,215,7312,1
28,104,104,154,5961,1
29,84,84,97,15651,1
30,68,68,68,12684,1
31,43,43,143,13172,1
32,72,72,87,11557,2
33,90,90,201,7407,1
34,50,50,62,11669,1
35,118,118,170,14827,1
36,15,15,14,15340,2
37,112,112,297,3376,2
38,118,118,253,7924,2
39,35,35,41,8462,2
40,104,104,204,1574,1
41,69,69,118,11370,2
42,58,58,98,18718,1
43,50,50,52,4392,1
44,34,34,70,4227,1
45,42,42,66,15729,0
46,112,112,191,11753,2
47,58,58,203,6691,1
48,28,28,47,13803,1
49,26,26,31,12970,1
