graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,96,12,19,324,1
1,29,12,21,14184,1
2,18,6,5,5494,1
3,109,12,12,11142,1
4,50,8,13,9707,2
5,46,17,21,13008,0
6,43,8,8,278,2
7,32,5,5,2708,2
8,109,3,2,10441,1
9,28,8,8,14906,0
10,101,13,16,4929,0
11,109,46,74,18728,2
12,84,9,8,2708,2
13,26,6,5,10422,2
14,90,14,15,8183,2
15,69,5,5,18523,2
16,19,14,13,16573,2
17,18,18,18,16676,2
18,26,12,19,8384,2
19,42,29,55,14651,2
20,44,9,8,3904,2
21,79,6,5,9085,1
22,92,28,89,11564,0
23,18,14,29,16405,2
24,86,36,108,12342,2
25,40,32,96,11394,0
26,106,6,5,5618,1
27,98,3,2,5442,2
28,104,5,4,10001,2
29,84,19,21,2973,1
30,68,6,6,8257,1
31,43,7,7,7136,2
32,72,24,36,14471,1
33,90,3,2,18896,2
34,50,13,15,1963,1
35,118,9,12,7225,0
36,15,6,5,16685,2
37,112,14,19,9046,2
38,118,40,61,13525,1
39,35,16,15,759,1
40,104,9,9,19470,1
41,69,13,14,10162,1
42,58,5,4,15927,1
43,50,17,22,14613,2
44,34,13,18,16904,1
45,42,15,19,7838,1
46,112,39,109,5839,0
47,58,15,20,14008,2
48,28,9,12,13931,2
49,26,9,8,7344,1
