setting,run,graph_id,node_with_question_mark,ground_truth,prompt,response,parsed_response,token_limit_fraction
ego,1,0,492,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 428: Label 4| Node 996: Label 4| Node 1257: Label 4| Node 2248: Label 4| Node 2671: Label 4| Node 1071: Label 4| Node 1135: Label 4| Node 688: Label 4| Node 492: Label ?| Node 1206: Label 4| Node 956: Label 4| Node 2677: Label 4| Node 450: Label 4| Node 2538: Label 4| Node 2249: Label 4| Node 2518: Label 4| Node 1109: Label 4| Node 1533: Label 4| Node 381: Label 4| Node 726: Label 4| Node 2673: Label 4| Node 2678: Label 4| Node 2679: Label 4| Graph motif information: No of star motifs: 0| No of triangle motifs: 31| Triangle motifs attached to ? node: [['1257', '492', '2678'], ['1257', '492', '2538'], ['1257', '492', '688'], ['1257', '492', '2673']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 4,4,0.0447998046875
ego,1,1,1693,0,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2499: Label 0| Node 1117: Label 0| Node 1524: Label 0| Node 964: Label 0| Node 965: Label 0| Node 839: Label 0| Node 1693: Label ?| Node 2197: Label 0| Node 2408: Label 0| Node 434: Label 0| Node 1391: Label 0| Node 2133: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 2| Triangle motifs attached to ? node: [['1524', '1693', '434'], ['1693', '2408', '434']]| Star motifs connected to ? node: [['965', '964', '839', '2197', '1693'], ['434', '1524', '2408', '1117', '2133', '1693'], ['1524', '434', '2499', '1693']]| ```
           ",Label of Node = 0,0,0.0372314453125
ego,1,2,696,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 130: Label 5| Node 88: Label 0| Node 2017: Label 5| Node 2178: Label 5| Node 76: Label 5| Node 415: Label 0| Node 737: Label 5| Node 1309: Label 5| Node 1288: Label 6| Node 1677: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 277: Label 3| Node 160: Label 3| Node 553: Label 3| Node 696: Label ?| Node 973: Label 5| Node 1869: Label 3| Node 162: Label 4| Node 815: Label 0| Node 851: Label 0| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 300: Label 5| Node 1527: Label 0| Node 1847: Label 0| Node 2014: Label 3| Node 743: Label 3| Node 1570: Label 3| Node 571: Label 3| Node 1713: Label 0| Node 1732: Label 2| Node 841: Label 3| Node 2016: Label 0| Node 1494: Label 5| Node 498: Label 4| Node 1394: Label 5| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Graph motif information: No of star motifs: 0| No of triangle motifs: 34| Triangle motifs attached to ? node: [['571', '696', '1570']]| Star motifs connected to ? node: [['1570', '743', '571', '696']]| ```
           ",Label of Node = 3,3,0.0640869140625
ego,1,3,1282,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1282: Label ?| Node 684: Label 2| Node 741: Label 1| Node 905: Label 2| Node 1283: Label 1| Node 1483: Label 2| Node 1735: Label 1| Node 1776: Label 1| Node 2324: Label 1| Node 1412: Label 2| Node 704: Label 2| Node 1743: Label 2| Node 389: Label 2| Node 359: Label 2| Node 1077: Label 5| Node 1620: Label 1| Node 138: Label 1| Node 306: Label 1| Node 2078: Label 3| Node 2208: Label 1| Node 2083: Label 2| Node 1572: Label 1| Node 1358: Label 2| Node 2093: Label 1| Node 831: Label 1| Node 1072: Label 2| Node 2045: Label 1| Node 562: Label 2| Node 2113: Label 2| Node 1726: Label 2| Node 1011: Label 1| Node 1088: Label 1| Node 969: Label 2| Node 960: Label 3| Node 742: Label 2| Node 754: Label 2| Node 1249: Label 2| Node 337: Label 2| Node 1499: Label 2| Node 1623: Label 1| Graph motif information: No of star motifs: 0| No of triangle motifs: 45| Triangle motifs attached to ? node: [['1282', '1735', '1483'], ['1282', '1735', '2324'], ['1282', '1735', '1776'], ['1282', '1283', '2324'], ['1282', '1283', '1776'], ['1282', '1483', '905'], ['1282', '2324', '1776'], ['1735', '2324', '1776'], ['1283', '2324', '1776']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 1,1,0.0704345703125
ego,1,4,776,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1413: Label 3| Node 219: Label 3| Node 251: Label 3| Node 253: Label 3| Node 338: Label 3| Node 402: Label 3| Node 507: Label 3| Node 776: Label ?| Node 812: Label 3| Node 872: Label 4| Node 877: Label 3| Node 1340: Label 3| Node 1363: Label 3| Node 1542: Label 3| Node 1931: Label 3| Node 1932: Label 3| Node 1933: Label 3| Node 1934: Label 3| Node 1935: Label 3| Node 1936: Label 3| Node 216: Label 3| Node 297: Label 3| Node 918: Label 3| Node 990: Label 3| Node 1176: Label 3| Node 1177: Label 3| Node 1300: Label 3| Node 1301: Label 3| Node 1334: Label 3| Node 1477: Label 3| Node 1577: Label 3| Node 1607: Label 3| Node 1939: Label 3| Node 1940: Label 3| Node 1941: Label 3| Node 1942: Label 3| Node 1943: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 64| Triangle motifs attached to ? node: [['1542', '402', '1413'], ['1542', '402', '776'], ['1542', '1413', '776'], ['402', '1413', '776']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 3,3,0.059326171875
ego,1,5,39,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 22: Label 4| Node 39: Label ?| Node 1234: Label 4| Node 1702: Label 4| Node 1703: Label 4| Node 2238: Label 4| Node 1050: Label 4| Node 1320: Label 4| Node 1634: Label 4| Node 1532: Label 4| Node 2648: Label 4| Node 1697: Label 3| Node 1522: Label 4| Node 1349: Label 4| Node 1965: Label 4| Node 2357: Label 4| Node 2684: Label 4| Node 1964: Label 4| Node 2355: Label 4| Node 94: Label 0| Node 2356: Label 0| Node 1846: Label 3| Node 1461: Label 4| Node 82: Label 4| Node 2393: Label 4| Node 2680: Label 4| Graph motif information: No of star motifs: 0| No of triangle motifs: 11| Triangle motifs attached to ? node: [['1349', '1634', '39']]| Star motifs connected to ? node: [['1522', '1697', '2680', '39'], ['1634', '1050', '1349', '2393', '82', '1461', '39']]| ```
           ",Label of Node = 4,4,0.049560546875
ego,1,6,2379,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1810: Label 3| Node 1107: Label 3| Node 2335: Label 4| Node 2001: Label 4| Node 2348: Label 3| Node 429: Label 4| Node 2044: Label 3| Node 574: Label 3| Node 1986: Label 3| Node 2002: Label 4| Node 2003: Label 3| Node 2243: Label 3| Node 2121: Label 4| Node 2378: Label 4| Node 2379: Label ?| Node 2123: Label 4| Node 91: Label 4| Node 2380: Label 4| Node 2381: Label 3| Node 503: Label 3| Node 598: Label 3| Node 605: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 9| Triangle motifs attached to ? node: [['2001', '2002', '2379']]| Star motifs connected to ? node: [['1107', '1810', '605', '2243', '598', '2379']]| ```
           ",Label of Node = 4,4,0.042724609375
ego,1,7,1065,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1160: Label 3| Node 401: Label 3| Node 733: Label 0| Node 397: Label 3| Node 1096: Label 3| Node 54: Label 1| Node 104: Label 1| Node 1065: Label ?| Node 411: Label 3| Node 2210: Label 1| Node 864: Label 1| Node 1699: Label 1| Node 484: Label 1| Node 1505: Label 1| Node 2211: Label 0| Node 2356: Label 0| Node 85: Label 1| Node 2487: Label 1| Node 2488: Label 1| Node 1633: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 5| Triangle motifs attached to ? node: [['401', '104', '1065'], ['401', '1096', '1065'], ['104', '864', '1065']]| Star motifs connected to ? node: [['1699', '484', '1505', '1065'], ['85', '2488', '2487', '1065'], ['1096', '411', '397', '401', '1633', '1065']]| ```
           ",Label of Node = 1,1,0.0460205078125
ego,1,8,737,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2178: Label 5| Node 76: Label 5| Node 88: Label 0| Node 415: Label 0| Node 737: Label ?| Node 1309: Label 5| Node 1979: Label 5| Node 2024: Label 5| Node 130: Label 5| Node 2017: Label 5| Node 2182: Label 0| Node 525: Label 0| Node 1655: Label 0| Node 1121: Label 3| Node 2136: Label 0| Node 1288: Label 6| Node 1671: Label 4| Node 1677: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 162: Label 4| Node 815: Label 0| Node 851: Label 0| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 204: Label 0| Node 300: Label 5| Node 593: Label 4| Node 818: Label 3| Node 966: Label 0| Node 1527: Label 0| Node 1644: Label 0| Node 1843: Label 0| Node 1847: Label 0| Node 1850: Label 0| Node 2014: Label 3| Node 1314: Label 5| Node 890: Label 5| Node 1269: Label 5| Node 1713: Label 0| Node 2227: Label 5| Node 1630: Label 5| Node 1973: Label 6| Node 1974: Label 5| Node 578: Label 5| Node 696: Label 3| Node 1732: Label 2| Node 841: Label 3| Node 1227: Label 5| Node 1494: Label 5| Node 498: Label 4| Node 743: Label 3| Node 1394: Label 5| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Node 2016: Label 0| Node 753: Label 0| Node 1880: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 38| Triangle motifs attached to ? node: [['737', '1269', '1630'], ['737', '88', '415'], ['737', '88', '2178'], ['737', '415', '2178'], ['88', '415', '2178']]| Star motifs connected to ? node: [['1974', '1973', '578', '737']]| ```
           ",Label of Node = 5,5,0.089599609375
ego,1,9,712,6,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2278: Label 6| Node 850: Label 6| Node 1359: Label 6| Node 262: Label 6| Node 1464: Label 6| Node 712: Label ?| Node 2480: Label 6| Node 1482: Label 6| Node 331: Label 6| Node 181: Label 6| Node 1914: Label 6| Node 1683: Label 6| Node 1013: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 5| Triangle motifs attached to ? node: [['850', '1464', '712']]| Star motifs connected to ? node: [['850', '1464', '2278', '712'], ['2480', '331', '1359', '712']]| ```
           ",Label of Node = 6,6,0.033447265625
