graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,23,43,1758,2
1,6,6,5,2741,3
2,3,3,2,554,5
3,26,26,36,1771,4
4,11,11,12,2297,3
5,10,10,25,2332,0
6,10,10,25,2332,0
7,7,7,6,1072,4
8,26,26,36,1771,4
9,6,6,5,2741,3
10,24,24,38,2048,1
11,26,26,45,2487,2
12,20,20,29,2933,1
13,5,5,4,195,3
14,21,21,20,2401,2
15,16,16,28,2107,1
16,4,4,4,632,5
17,3,3,2,727,0
18,5,5,6,1878,2
19,9,9,9,1795,0
20,10,10,13,1210,4
21,19,19,29,682,3
22,22,22,32,2369,3
23,3,3,2,1213,3
24,20,20,29,221,1
25,9,9,10,25,2
26,25,25,39,3047,4
27,23,23,27,2315,4
28,25,25,39,3047,4
29,20,20,29,221,1
30,16,16,28,2107,1
31,10,10,14,3020,3
32,17,17,22,1576,2
33,21,21,20,2401,2
34,11,11,10,66,3
35,28,28,39,2455,3
36,30,30,69,2705,1
37,3,3,3,3181,0
38,27,27,35,2900,1
39,28,28,51,3086,2
40,8,8,8,3066,1
41,25,25,36,936,2
42,16,16,25,2354,3
43,13,13,15,465,4
44,11,11,12,1406,3
45,7,7,11,1393,0
46,9,9,14,2555,3
47,27,27,30,2312,4
48,13,13,15,465,4
49,6,6,5,1008,2
