1920, 69
1920, 1914
1539, 1914
645, 891
645, 1900
1674, 891
1674, 1914
1674, 2608
778, 779
778, 1914
778, 1919
779, 1592
779, 1914
779, 1919
1675, 1676
1675, 1914
1676, 1914
921, 1914
1914, 41
1914, 69
1914, 175
1914, 506
1914, 596
1914, 604
1914, 830
1914, 955
1914, 1079
1914, 1359
1914, 1362
1914, 1464
1914, 1485
1914, 1525
1914, 1592
1914, 1849
1914, 1905
1914, 1915
1914, 1916
1914, 1917
1914, 1918
1914, 1919
1914, 2388
41, 175
41, 596
175, 596
175, 955
175, 2388
2608, 891
2608, 1900
1464, 1359
69, 604
506, 1918
