2304, 733
1665, 2034
382, 2034
1026, 2034
1273, 2034
1160, 401
1160, 733
1160, 794
1160, 2268
1929, 2034
141, 1002
141, 2034
1294, 733
14, 158
14, 2034
1807, 2034
401, 733
1682, 733
1682, 2291
2039, 1889
2039, 2034
2039, 2042
1812, 2034
791, 2034
791, 2130
2040, 2034
1817, 733
794, 733
1818, 733
2041, 2034
158, 2034
417, 2034
2042, 2034
678, 377
678, 733
1062, 733
1062, 1192
1192, 733
1319, 2034
1448, 2034
1324, 2035
1324, 2265
45, 733
45, 2303
1968, 2034
1329, 733
49, 2034
435, 733
691, 2034
691, 2130
1336, 86
1336, 2034
1983, 2034
2303, 733
841, 2034
1614, 2034
2130, 1889
2130, 1891
2130, 2034
86, 2034
2008, 733
2008, 2301
218, 733
2011, 733
2268, 383
2268, 733
2268, 2291
733, 94
733, 377
733, 383
733, 759
733, 862
733, 1265
733, 2035
733, 2291
733, 2301
733, 2302
224, 2034
1497, 2034
1889, 1891
1889, 2034
1891, 2034
1894, 2034
617, 2034
1002, 2034
1265, 377
1265, 2291
2034, 1270
2034, 1654
2034, 2035
2034, 2036
2034, 2037
2034, 2038
2291, 377
