GroundTruth,Parsed Value,Prompt,Response
30,3,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {144471: [100770, 19178, 45177, 56958], 100770: [144471, 110780, 19178, 56958], 110780: [100770, 45177], 19178: [100770, 144471, 155216, 142605], 56958: [100770, 144471], 155216: [19178], 142605: [19178], 45177: [144471, 110780]}
Node to Label Mapping : 
Node 100770: Label 6| Node 19178: Label 3| Node 142605: Label ?| Node 155216: Label 3| Node 144471: Label 3| Node 45177: Label 3| Node 110780: Label 26| Node 56958: Label 3| ```
                                ""","""Label of Node = 3"""
8,8,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {48057: [50050, 83348, 146482, 97473, 1651, 2556], 50050: [48057, 22931, 41506, 8151, 38903, 97473, 6120, 26138, 4909, 2556], 22931: [50050, 97473], 41506: [50050, 121346, 83348, 131221, 146482, 97473, 129217, 132059, 8151, 28476], 8151: [50050, 121346, 41506, 97473, 67939, 1129], 38903: [50050], 97473: [50050, 86540, 46226, 22931, 30741, 96281, 26138, 94620, 63261, 90784, 41506, 33826, 46762, 4909, 61869, 48057, 74425, 3644, 43328, 66425, 1651, 8151, 65475, 6120, 48884, 21101, 2556], 6120: [50050, 97473, 129217], 26138: [50050, 97473, 129217], 4909: [50050, 1651, 97473], 2556: [50050, 83348, 63261, 61869, 48057, 97473, 21101], 99358: [121346], 121346: [99358, 4146, 17512, 79793, 41506, 17710, 8151, 24311, 28476, 37942, 28732], 4146: [121346, 146482, 66425], 17512: [121346], 79793: [121346], 17710: [121346], 24311: [121346, 131221, 37942, 132059], 28476: [121346, 41506, 146482, 132059], 37942: [121346, 24311], 28732: [121346], 86540: [97473], 46226: [97473, 48884], 48884: [46226, 97473], 83348: [48057, 1651, 41506, 63261, 2556], 1651: [83348, 4909, 146482, 48057, 3644, 97473], 63261: [83348, 97473, 2556], 131221: [41506, 24311, 96281], 96281: [131221, 97473], 30741: [97473], 129217: [26138, 41506, 6120], 94620: [97473, 132059], 132059: [94620, 41506, 146482, 28476, 24311], 90784: [97473], 146482: [41506, 4146, 48057, 1651, 28476, 132059], 33826: [97473], 46762: [97473], 61869: [97473, 2556], 66425: [4146, 97473], 74425: [97473], 3644: [1651, 97473], 43328: [97473], 65475: [97473], 21101: [97473, 2556], 1129: [31061, 8151], 31061: [1129], 67939: [8151]}
Node to Label Mapping : 
Node 50050: Label 8| Node 121346: Label ?| Node 86540: Label 8| Node 46226: Label 29| Node 22931: Label 29| Node 83348: Label 8| Node 131221: Label 8| Node 30741: Label 8| Node 96281: Label 8| Node 26138: Label 29| Node 94620: Label 8| Node 63261: Label 8| Node 99358: Label 8| Node 90784: Label 8| Node 41506: Label 8| Node 33826: Label 29| Node 46762: Label 8| Node 4909: Label 8| Node 61869: Label 29| Node 17710: Label 8| Node 79793: Label 28| Node 146482: Label 8| Node 4146: Label 28| Node 37942: Label 8| Node 48057: Label 29| Node 74425: Label 8| Node 28476: Label 8| Node 3644: Label 29| Node 28732: Label 28| Node 43328: Label 29| Node 97473: Label 8| Node 129217: Label 29| Node 65475: Label 8| Node 24311: Label 8| Node 31061: Label 8| Node 8151: Label 8| Node 132059: Label 8| Node 67939: Label 8| Node 6120: Label 29| Node 1129: Label 5| Node 17512: Label 8| Node 21101: Label 8| Node 1651: Label 8| Node 48884: Label 8| Node 38903: Label 28| Node 66425: Label 28| Node 2556: Label 8| ```
                                ""","""Label of Node = 8"""
39,39,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {1431: [3580], 3580: [1431, 2855], 2855: [3580]}
Node to Label Mapping : 
Node 3580: Label 39| Node 2855: Label ?| Node 1431: Label 39| ```
                                ""","""Label of Node = 39"""
30,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {}
Node to Label Mapping : 
Node 7253: Label ?| ```
                                ""","""Label of Node = -1"""
31,24,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {148857: [39808, 71302, 111112, 121097, 23691, 126355, 51738, 138267, 31260, 100382, 139551, 32673, 1185, 105633, 129570, 103078, 86697, 79018, 47660, 83117, 100141, 126893, 76848, 5169, 140844, 131636, 110519, 13881, 1978, 132158, 41023, 23625, 39754, 45777, 45779, 60501, 138711, 105563, 18012, 121565, 124896, 146529, 41059, 56547, 42213, 37862, 65785, 72804, 83305, 120164, 129509, 145516, 13038, 88561, 29045, 41976, 103036], 39808: [148857, 124896, 111112], 124896: [39808, 86697, 79018, 148857, 42213, 88561, 41059, 29045], 111112: [39808, 148857], 71302: [148857, 129570, 5169], 129570: [71302, 139551, 1185, 148857, 5169], 5169: [71302, 129570, 148857], 121097: [148857, 139551], 139551: [121097, 148857, 45779, 121565, 129570], 23625: [23691, 138267, 110519, 148857], 23691: [23625, 148857], 126355: [148857], 51738: [148857], 138267: [148857, 23625], 31260: [148857, 45779], 45779: [31260, 139551, 148857, 29045], 100382: [148857], 121565: [139551, 148857], 32673: [148857], 1185: [148857, 140844, 129570], 140844: [1185, 148857, 131636], 105633: [148857, 39754], 39754: [105633, 148857], 103078: [148857], 86697: [148857, 124896, 65785], 65785: [86697, 148857], 79018: [148857, 124896, 41059], 41059: [79018, 124896, 148857], 47660: [148857], 83117: [148857], 100141: [148857], 126893: [148857], 76848: [148857], 131636: [140844, 148857, 18012, 83305], 18012: [131636, 148857], 83305: [131636, 148857], 110519: [148857, 23625, 41023], 41023: [110519, 148857, 146529], 13881: [148857], 1978: [148857], 132158: [148857], 146529: [41023, 148857], 45777: [148857], 29045: [45779, 124896, 148857], 60501: [148857], 138711: [148857], 105563: [148857], 42213: [124896, 148857], 88561: [124896, 148857], 56547: [148857], 37862: [148857], 72804: [148857], 120164: [148857], 129509: [148857], 145516: [148857], 13038: [148857], 41976: [148857], 103036: [148857]}
Node to Label Mapping : 
Node 39808: Label 24| Node 71302: Label 24| Node 111112: Label 10| Node 121097: Label 24| Node 23691: Label 24| Node 126355: Label 24| Node 51738: Label 26| Node 138267: Label 24| Node 31260: Label 24| Node 100382: Label 24| Node 139551: Label 6| Node 32673: Label 24| Node 1185: Label 6| Node 105633: Label 24| Node 129570: Label 3| Node 103078: Label 24| Node 86697: Label 24| Node 79018: Label 24| Node 47660: Label 24| Node 83117: Label 3| Node 100141: Label 24| Node 126893: Label 10| Node 76848: Label 24| Node 5169: Label 24| Node 140844: Label 24| Node 131636: Label 24| Node 110519: Label 3| Node 13881: Label 24| Node 1978: Label ?| Node 132158: Label 24| Node 41023: Label 24| Node 23625: Label 24| Node 39754: Label 3| Node 45777: Label 24| Node 45779: Label 24| Node 60501: Label 36| Node 138711: Label 24| Node 105563: Label 24| Node 18012: Label 24| Node 121565: Label 6| Node 124896: Label 24| Node 146529: Label 24| Node 41059: Label 24| Node 56547: Label 24| Node 42213: Label 24| Node 37862: Label 24| Node 65785: Label 24| Node 72804: Label 24| Node 83305: Label 24| Node 120164: Label 24| Node 129509: Label 24| Node 145516: Label 24| Node 13038: Label 24| Node 88561: Label 24| Node 29045: Label 3| Node 41976: Label 24| Node 148857: Label 24| Node 103036: Label 24| ```
                                ""","""Label of Node = 24"""
10,10,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {14827: [54586, 100996], 54586: [14827], 100996: [14827]}
Node to Label Mapping : 
Node 54586: Label 10| Node 14827: Label 10| Node 100996: Label ?| ```
                                ""","""Label of Node = 10"""
33,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {}
Node to Label Mapping : 
Node 113765: Label ?| ```
                                ""","""Label of Node = -1"""
36,36,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {13399: [121217, 79142, 40614, 108205, 69934, 106680, 2515, 1763], 121217: [13399, 64070, 1763, 118211, 28614, 105326, 79142, 42134, 108205], 64070: [121217, 79142, 96738, 135795, 1763], 1763: [121217, 42134, 79142, 40614, 108205, 69934, 33464, 47932, 113085, 118211, 64070, 28614, 4816, 13399, 96738, 105326, 135795, 117482], 118211: [121217, 1763], 28614: [121217, 1763, 117482], 105326: [121217, 1763, 117482], 79142: [121217, 31519, 47932, 13399, 64070, 1763, 45910, 56566, 40614, 108205, 55647, 2515], 42134: [121217, 1763], 108205: [121217, 79142, 13399, 1763], 106680: [145302, 40614, 105385, 69934, 82115, 71745, 47932, 13399, 103935], 145302: [106680], 56566: [31519, 79142, 45910, 55647], 31519: [56566, 79142], 47932: [79142, 106680, 1763], 45910: [79142, 56566], 40614: [79142, 13399, 1763, 106680, 4816], 55647: [79142, 56566], 2515: [79142, 13399, 135795], 4816: [40614, 1763], 105385: [106680], 69934: [13399, 1763, 106680], 33464: [1763], 82115: [106680], 71745: [106680], 103935: [106680], 113085: [1763], 96738: [64070, 1763], 135795: [64070, 2515, 1763], 117482: [28614, 1763, 105326]}
Node to Label Mapping : 
Node 121217: Label 36| Node 42134: Label 36| Node 145302: Label 9| Node 31519: Label 36| Node 79142: Label 36| Node 40614: Label 36| Node 105385: Label 36| Node 108205: Label 36| Node 69934: Label 36| Node 33464: Label 36| Node 106680: Label ?| Node 47932: Label 36| Node 113085: Label 36| Node 71745: Label 26| Node 118211: Label 36| Node 82115: Label 36| Node 64070: Label 36| Node 28614: Label 36| Node 4816: Label 36| Node 2515: Label 10| Node 45910: Label 36| Node 13399: Label 36| Node 55647: Label 36| Node 96738: Label 36| Node 1763: Label 36| Node 117482: Label 36| Node 105326: Label 36| Node 135795: Label 36| Node 56566: Label 36| Node 103935: Label 36| ```
                                ""","""Label of Node = 36"""
8,8,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {154407: [124480, 79169, 87527, 14792, 24143, 100857, 154440, 60703], 124480: [154407, 154440, 14792, 60703], 154440: [124480, 79169, 124451, 87527, 154407, 123913, 100857, 16284, 60703], 14792: [124480, 79169, 87527, 161620, 100857, 154407, 123913, 60703], 60703: [124480, 79169, 124451, 25894, 87527, 14792, 154407, 123913, 16459, 42956, 154440, 24143, 24687, 161620, 100857, 16284, 163613], 79169: [14792, 16284, 16459, 60703, 124451, 161620, 87527, 100857, 154407, 123913, 154440], 16284: [79169, 123913, 154440, 60703], 16459: [79169, 60703], 124451: [79169, 154440, 60703], 161620: [79169, 25894, 14792, 24143, 60703], 87527: [79169, 25894, 100857, 154407, 154440, 14792, 60703], 100857: [79169, 87527, 14792, 154407, 154440, 60703], 123913: [79169, 25894, 14792, 16284, 154440, 60703], 25894: [161620, 87527, 123913, 60703], 24143: [154407, 161620, 60703], 42956: [60703], 24687: [60703], 163613: [60703]}
Node to Label Mapping : 
Node 124480: Label 28| Node 79169: Label 8| Node 124451: Label 28| Node 25894: Label 8| Node 87527: Label 8| Node 14792: Label 28| Node 154407: Label 28| Node 123913: Label 28| Node 16459: Label 8| Node 42956: Label 28| Node 154440: Label 28| Node 24143: Label 28| Node 24687: Label 8| Node 161620: Label 28| Node 100857: Label 28| Node 16284: Label 5| Node 163613: Label ?| Node 60703: Label 8| ```
                                ""","""Label of Node = 8"""
11,19,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Adjacency list: {166806: [53409, 155276, 144622, 14739, 71035, 136694, 88667], 53409: [166806, 150991], 150991: [53409, 27365, 123750, 144622, 89077, 57557, 65488, 71035, 31295], 155276: [12193, 144622, 89077, 166806, 136694, 71035, 15601, 88667], 12193: [155276, 136694, 57557], 136694: [12193, 155276, 15601, 71035, 166806, 88667], 57557: [12193, 150991], 27365: [150991], 123750: [150991], 144622: [155276, 166806, 150991, 149211], 89077: [155276, 150991], 71035: [155276, 150991, 166806, 136694], 15601: [155276, 136694], 88667: [155276, 166806, 136694], 149211: [144622], 65488: [150991], 31295: [150991], 14739: [166806]}
Node to Label Mapping : 
Node 53409: Label 19| Node 12193: Label 19| Node 27365: Label 19| Node 123750: Label 19| Node 155276: Label 19| Node 144622: Label 19| Node 150991: Label 28| Node 65488: Label 19| Node 15601: Label 19| Node 14739: Label 16| Node 71035: Label 19| Node 57557: Label 19| Node 166806: Label 19| Node 136694: Label 19| Node 89077: Label 19| Node 88667: Label ?| Node 149211: Label 19| Node 31295: Label 24| ```
                                ""","""Label of Node = 19"""
