setting,run,graph_id,node_with_question_mark,ground_truth,prompt,response,parsed_response,token_limit_fraction
ego,2,0,2391,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1801: Label 0| Node 1035: Label 2| Node 1072: Label 2| Node 2451: Label 2| Node 915: Label 2| Node 1740: Label 2| Node 268: Label 2| Node 1804: Label 2| Node 657: Label 2| Node 1041: Label 2| Node 1358: Label 2| Node 2390: Label 2| Node 367: Label 2| Node 752: Label 2| Node 1757: Label 2| Node 2389: Label 2| Node 2391: Label ?| Node 2392: Label 2| Node 2452: Label 2| Node 1725: Label 2| Node 312: Label 2| Node 1627: Label 2| Node 489: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 9| Triangle motifs attached to ? node: [['1740', '2390', '2391'], ['2451', '2390', '2391'], ['489', '2390', '2391']]| Star motifs connected to ? node: [['2451', '2390', '2452', '2392', '752', '268', '1804', '367', '1757', '1801', '2389', '2391'], ['2390', '1740', '1041', '2451', '489', '2391'], ['489', '1358', '2390', '2391']]| ```
           ",Label of Node = 2,2,0.053955078125
ego,2,1,2105,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 517: Label 5| Node 952: Label 3| Node 2105: Label ?| Node 490: Label 5| Node 826: Label 5| Node 1131: Label 3| Node 1309: Label 5| Node 1463: Label 3| Node 1879: Label 5| Node 1973: Label 6| Node 1981: Label 0| Node 2099: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 0| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['490', '1131', '826', '1879', '1463', '2099', '1309', '1973', '1981', '2105']]| ```
           ",Label of Node = 5,5,0.0325927734375
ego,2,2,435,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2304: Label 3| Node 733: Label 0| Node 1160: Label 3| Node 401: Label 3| Node 794: Label 0| Node 2268: Label 0| Node 1294: Label 3| Node 1296: Label 0| Node 1912: Label 0| Node 1682: Label 0| Node 2291: Label 0| Node 1174: Label 0| Node 1817: Label 3| Node 1818: Label 3| Node 2077: Label 3| Node 486: Label 3| Node 1704: Label 3| Node 678: Label 3| Node 377: Label 3| Node 1062: Label 3| Node 1192: Label 3| Node 383: Label 3| Node 45: Label 3| Node 2303: Label 3| Node 2667: Label 3| Node 2668: Label 3| Node 1329: Label 3| Node 435: Label ?| Node 2102: Label 5| Node 2103: Label 5| Node 1338: Label 5| Node 1609: Label 1| Node 2008: Label 3| Node 2301: Label 3| Node 218: Label 3| Node 2011: Label 3| Node 94: Label 0| Node 759: Label 4| Node 862: Label 4| Node 1265: Label 4| Node 2035: Label 3| Node 2302: Label 3| Node 995: Label 5| Node 2404: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 16| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['435', '486', '733', '1912'], ['1912', '1704', '1338', '2102', '995', '2103', '1174', '2404', '1296', '1609', '435']]| ```
           ",Label of Node = 3,3,0.068603515625
ego,2,3,2156,0,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 2178: Label 5| Node 2024: Label 5| Node 1667: Label 4| Node 651: Label 0| Node 778: Label 6| Node 779: Label 6| Node 1224: Label 0| Node 1370: Label 6| Node 1919: Label 6| Node 55: Label 4| Node 885: Label 5| Node 1984: Label 4| Node 2023: Label 5| Node 2156: Label ?| Node 1291: Label 6| Node 1660: Label 6| Node 2154: Label 6| Node 2194: Label 0| Node 324: Label 0| Node 682: Label 6| Node 1583: Label 0| Node 1587: Label 6| Node 1332: Label 0| Node 1848: Label 0| Node 1975: Label 6| Node 827: Label 3| Node 1851: Label 6| Node 1341: Label 0| Node 1732: Label 2| Node 1222: Label 5| Node 586: Label 0| Node 1110: Label 0| Node 1131: Label 3| Node 1525: Label 6| Node 1526: Label 0| Node 2151: Label 6| Node 2152: Label 3| Node 2153: Label 4| Node 2155: Label 0| Node 478: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 22| Triangle motifs attached to ? node: [['2156', '2024', '651']]| Star motifs connected to ? node: [['324', '2194', '827', '2156']]| ```
           ",Label of Node = 5,5,0.0609130859375
ego,2,4,1341,0,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 778: Label 6| Node 779: Label 6| Node 1224: Label 0| Node 1370: Label 6| Node 1919: Label 6| Node 1291: Label 6| Node 1660: Label 6| Node 2154: Label 6| Node 682: Label 6| Node 1195: Label 0| Node 868: Label 3| Node 1583: Label 0| Node 2099: Label 0| Node 1526: Label 0| Node 2425: Label 3| Node 1844: Label 3| Node 2276: Label 3| Node 1587: Label 6| Node 1975: Label 6| Node 1848: Label 0| Node 1851: Label 6| Node 1341: Label ?| Node 1732: Label 2| Node 838: Label 0| Node 1131: Label 3| Node 1222: Label 5| Node 586: Label 0| Node 1110: Label 0| Node 1525: Label 6| Node 2151: Label 6| Node 2152: Label 3| Node 2153: Label 4| Node 2155: Label 0| Node 2156: Label 0| Node 1622: Label 3| Node 988: Label 3| Node 2426: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 23| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['1341', '868', '1224', '2425']]| ```
           ",Label of Node = 3,3,0.056884765625
ego,2,5,39,4,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 22: Label 4| Node 39: Label ?| Node 1234: Label 4| Node 1702: Label 4| Node 1703: Label 4| Node 2238: Label 4| Node 1050: Label 4| Node 1320: Label 4| Node 1634: Label 4| Node 1532: Label 4| Node 2648: Label 4| Node 1697: Label 3| Node 1522: Label 4| Node 1349: Label 4| Node 1965: Label 4| Node 2357: Label 4| Node 2684: Label 4| Node 1964: Label 4| Node 2355: Label 4| Node 94: Label 0| Node 2356: Label 0| Node 1846: Label 3| Node 1461: Label 4| Node 82: Label 4| Node 2393: Label 4| Node 2680: Label 4| Graph motif information: No of star motifs: 0| No of triangle motifs: 11| Triangle motifs attached to ? node: [['1349', '1634', '39']]| Star motifs connected to ? node: [['1522', '1697', '2680', '39'], ['1634', '1050', '1349', '2393', '82', '1461', '39']]| ```
           ",Label of Node = 4,4,0.049560546875
ego,2,6,2163,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1026: Label 3| Node 1303: Label 3| Node 1810: Label 3| Node 1348: Label 3| Node 95: Label 0| Node 746: Label 3| Node 979: Label 3| Node 2163: Label ?| Node 30: Label 3| Node 738: Label 0| Node 2162: Label 3| Node 2605: Label 3| Node 1200: Label 3| Node 1502: Label 3| Node 1073: Label 3| Node 316: Label 3| Node 985: Label 2| Node 1080: Label 3| Node 61: Label 0| Node 218: Label 3| Node 1503: Label 3| Node 1382: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 3| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['2163', '1303', '1073', '1348', '1502', '2162'], ['1303', '95', '1026', '746', '979', '2163'], ['1073', '985', '316', '2163'], ['1348', '218', '2605', '1810', '2163'], ['1502', '1503', '1200', '1382', '2163']]| ```
           ",Label of Node = 3,3,0.05029296875
ego,2,7,262,6,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 262: Label ?| Node 1351: Label 6| Node 1464: Label 6| Node 907: Label 6| Node 1683: Label 6| Node 181: Label 6| Node 1972: Label 6| Node 1013: Label 0| Node 1359: Label 6| Node 1592: Label 6| Node 1914: Label 6| Node 712: Label 6| Node 850: Label 6| Node 1482: Label 6| Node 69: Label 6| Node 604: Label 6| Node 1362: Label 6| Node 1535: Label 0| Node 2134: Label 6| Node 2282: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 7| Triangle motifs attached to ? node: []| Star motifs connected to ? node: []| ```
           ",Label of Node = -1,-1,0.0364990234375
ego,2,8,1677,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 130: Label 5| Node 88: Label 0| Node 2017: Label 5| Node 2178: Label 5| Node 76: Label 5| Node 415: Label 0| Node 737: Label 5| Node 1309: Label 5| Node 2182: Label 0| Node 525: Label 0| Node 1288: Label 6| Node 1677: Label ?| Node 191: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 162: Label 4| Node 815: Label 0| Node 1178: Label 4| Node 1529: Label 4| Node 61: Label 0| Node 490: Label 5| Node 851: Label 0| Node 995: Label 5| Node 1338: Label 5| Node 1625: Label 2| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 2102: Label 5| Node 2103: Label 5| Node 204: Label 0| Node 300: Label 5| Node 593: Label 4| Node 818: Label 3| Node 966: Label 0| Node 1527: Label 0| Node 1644: Label 0| Node 1843: Label 0| Node 1847: Label 0| Node 1850: Label 0| Node 2014: Label 3| Node 1713: Label 0| Node 2385: Label 4| Node 696: Label 3| Node 382: Label 3| Node 608: Label 1| Node 1791: Label 1| Node 1998: Label 5| Node 1474: Label 4| Node 1732: Label 2| Node 841: Label 3| Node 211: Label 0| Node 1394: Label 5| Node 1494: Label 5| Node 498: Label 4| Node 743: Label 3| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Node 2016: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 34| Triangle motifs attached to ? node: [['1908', '88', '415'], ['1908', '88', '1677'], ['1908', '415', '1677'], ['88', '415', '1677'], ['88', '415', '1309'], ['88', '1677', '1309'], ['415', '1677', '1309']]| Star motifs connected to ? node: [['191', '608', '382', '2385', '1998', '1791', '1677']]| ```
           ",Label of Node = 0,0,0.0933837890625
ego,2,9,451,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 451: Label ?| Node 671: Label 5| Node 935: Label 5| Node 2285: Label 5| Node 661: Label 5| Node 854: Label 4| Node 973: Label 5| Node 1873: Label 3| Node 2025: Label 0| Node 2284: Label 5| Node 989: Label 0| Node 2286: Label 5| Node 441: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 0| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['451', '671', '935', '2285'], ['671', '973', '441', '2025', '451'], ['935', '973', '1873', '661', '854', '451'], ['2285', '2284', '2286', '989', '451']]| ```
           ",Label of Node = 5,5,0.03662109375
