1155, 1229
1287, 59
1287, 1358
2439, 867
2439, 1229
2440, 657
2440, 867
2440, 1229
2441, 1229
2442, 657
2442, 867
2442, 1229
268, 1740
1035, 915
1035, 1740
1804, 1072
1804, 1740
657, 867
657, 871
657, 1229
657, 1254
657, 1740
915, 1740
1308, 1229
1308, 1254
1308, 1627
1067, 59
1072, 1358
1072, 1725
1072, 1740
312, 1740
59, 105
59, 580
59, 609
59, 615
59, 1358
59, 1627
59, 1725
59, 2651
1725, 1358
1725, 1740
580, 1358
1740, 1358
1740, 1627
1740, 2389
1740, 2390
1740, 2391
1740, 2392
1229, 867
1229, 871
1229, 1254
1229, 1358
1229, 1384
1229, 1506
1229, 1627
1229, 1749
1358, 609
1358, 1384
1358, 1749
2390, 2391
2651, 105
867, 871
