graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,6,6,2687,3
1,6,2,1,2193,1
2,3,2,1,2742,1
3,26,5,4,2351,3
4,11,7,7,1971,3
5,10,3,2,728,5
6,10,3,2,728,5
7,7,2,1,2193,1
8,26,5,4,2351,3
9,6,2,1,2193,1
10,24,4,3,2351,3
11,26,14,29,912,2
12,20,7,8,373,2
13,5,4,3,2666,5
14,21,8,9,2925,2
15,16,5,4,2633,1
16,4,4,3,755,2
17,3,3,2,755,2
18,5,4,3,2666,5
19,9,4,3,10,2
20,10,8,7,153,2
21,19,9,10,930,2
22,22,14,18,153,2
23,3,3,2,755,2
24,20,7,8,373,2
25,9,4,3,10,2
26,25,10,13,2519,1
27,23,8,11,796,1
28,25,10,13,2519,1
29,20,7,8,373,2
30,16,5,4,2633,1
31,10,8,7,153,2
32,17,8,8,396,2
33,21,8,9,2925,2
34,11,4,3,930,2
35,28,15,21,468,2
36,30,5,6,2381,1
37,3,3,2,1396,1
38,27,18,32,1683,4
39,28,6,7,1144,1
40,8,6,7,2382,1
41,25,6,7,1282,1
42,16,5,4,1556,1
43,13,6,7,1282,1
44,11,4,3,1102,4
45,7,6,7,1282,1
46,9,6,7,1144,1
47,27,18,32,1683,4
48,13,6,7,1282,1
49,6,6,7,2382,1
