graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,23,40,715,1
1,6,6,6,2761,5
2,3,3,2,3140,5
3,26,26,34,777,5
4,11,11,12,1406,3
5,10,10,12,999,3
6,10,10,12,999,3
7,7,7,11,1393,0
8,26,26,53,1190,2
9,6,6,6,2761,5
10,24,24,42,294,4
11,26,26,53,1190,2
12,20,20,28,2776,4
13,5,5,4,3084,5
14,21,21,25,1575,1
15,16,16,29,1797,4
16,4,4,3,2142,2
17,3,3,2,2865,3
18,5,5,5,1451,1
19,9,9,8,65,1
20,10,10,13,500,5
21,19,19,23,2113,2
22,22,22,28,2439,3
23,3,3,2,3094,3
24,20,20,41,2329,0
25,9,9,8,2250,3
26,25,25,33,1585,3
27,23,23,34,1971,3
28,25,25,33,1585,3
29,20,20,28,2776,4
30,16,16,29,1797,4
31,10,10,13,500,5
32,17,17,20,2259,4
33,21,21,25,1575,1
34,11,11,23,1640,2
35,28,28,46,395,2
36,30,30,43,98,3
37,3,3,2,593,3
38,27,27,63,2405,2
39,28,28,48,717,1
40,8,8,8,1691,4
41,25,25,36,936,2
42,16,16,23,1986,2
43,13,13,20,442,4
44,11,11,14,1863,5
45,7,7,8,3171,3
46,9,9,11,2574,2
47,27,27,63,2405,2
48,13,13,20,442,4
49,6,6,7,673,1
