GroundTruth,Parsed Value,Prompt,Response
34,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): 
Node to Label Mapping : 
Node 1063: Label ?| ```
                                ""","""Label of Node = -1"""
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 109952 is connected to Node 66570. Node 109952 is connected to Node 61775. Node 66570 is connected to Node 61775. Node 72120 is connected to Node 61775. 
Node to Label Mapping : 
Node 109952: Label 16| Node 66570: Label 16| Node 72120: Label ?| Node 61775: Label 16| ```
                                ""","""Label of Node = 16"""
4,4,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 67459 is connected to Node 35120. Node 54275 is connected to Node 35120. Node 54275 is connected to Node 167339. Node 66697 is connected to Node 35120. Node 167339 is connected to Node 31062. Node 167339 is connected to Node 35120. Node 162507 is connected to Node 35120. Node 44302 is connected to Node 35120. Node 35120 is connected to Node 31062. Node 35120 is connected to Node 164441. Node 35120 is connected to Node 130716. Node 35120 is connected to Node 758. Node 31062 is connected to Node 758. 
Node to Label Mapping : 
Node 67459: Label 4| Node 54275: Label 4| Node 66697: Label ?| Node 167339: Label 4| Node 162507: Label 4| Node 44302: Label 4| Node 35120: Label 4| Node 31062: Label 4| Node 758: Label 4| Node 164441: Label 4| Node 130716: Label 4| ```
                                ""","""Label of Node = 4"""
16,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 133376 is connected to Node 89093. Node 133376 is connected to Node 83800. Node 133376 is connected to Node 80014. Node 133376 is connected to Node 51105. Node 133376 is connected to Node 166425. Node 51105 is connected to Node 73035. Node 51105 is connected to Node 167097. Node 51105 is connected to Node 89093. Node 51105 is connected to Node 120754. Node 51105 is connected to Node 83800. Node 51105 is connected to Node 80014. Node 51105 is connected to Node 166425. Node 51105 is connected to Node 126723. Node 51105 is connected to Node 7632. Node 126723 is connected to Node 89093. Node 126723 is connected to Node 83800. Node 126723 is connected to Node 80014. Node 89093 is connected to Node 83800. Node 166425 is connected to Node 120754. Node 166425 is connected to Node 83800. Node 7632 is connected to Node 83800. 
Node to Label Mapping : 
Node 133376: Label 16| Node 51105: Label 16| Node 126723: Label 16| Node 89093: Label 16| Node 73035: Label 13| Node 80014: Label 16| Node 166425: Label 16| Node 7632: Label 16| Node 120754: Label 16| Node 83800: Label 16| Node 167097: Label ?| ```
                                ""","""Label of Node = -1"""
0,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 79393 is connected to Node 164223. Node 79393 is connected to Node 98275. Node 79393 is connected to Node 86398. Node 79393 is connected to Node 108997. Node 79393 is connected to Node 147834. Node 79393 is connected to Node 119907. Node 79393 is connected to Node 129284. Node 79393 is connected to Node 166397. Node 79393 is connected to Node 88399. Node 79393 is connected to Node 104148. Node 129284 is connected to Node 166397. Node 88399 is connected to Node 166397. 
Node to Label Mapping : 
Node 79393: Label 16| Node 98275: Label 24| Node 119907: Label 16| Node 108997: Label 24| Node 129284: Label 16| Node 88399: Label 16| Node 104148: Label 16| Node 147834: Label 16| Node 166397: Label 16| Node 86398: Label 24| Node 164223: Label ?| ```
                                ""","""Label of Node = -1"""
24,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): 
Node to Label Mapping : 
Node 140599: Label ?| ```
                                ""","""Label of Node = -1"""
24,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 55265 is connected to Node 95982. 
Node to Label Mapping : 
Node 55265: Label ?| Node 95982: Label 24| ```
                                ""","""Label of Node = -1"""
24,39,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 62962 is connected to Node 61807. 
Node to Label Mapping : 
Node 62962: Label 39| Node 61807: Label ?| ```
                                ""","""Label of Node = 39"""
27,19,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 82408 is connected to Node 63409. 
Node to Label Mapping : 
Node 82408: Label 19| Node 63409: Label ?| ```
                                ""","""Label of Node = 19"""
34,34,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge connections (source node - target node): Node 143912 is connected to Node 71222. Node 143912 is connected to Node 71244. 
Node to Label Mapping : 
Node 143912: Label 34| Node 71244: Label ?| Node 71222: Label 34| ```
                                ""","""Label of Node = 34"""
