1920, 69
1920, 1914
1920, 1926
1920, 2310
1920, 2422
1920, 2653
1025, 373
1025, 1042
1921, 1416
2051, 1042
2051, 1926
2051, 2364
2052, 74
2052, 544
2052, 1042
2052, 1926
901, 1042
901, 2073
1926, 69
1926, 1042
1926, 1416
1926, 2189
6, 373
6, 1042
6, 1416
6, 1602
1416, 30
1416, 61
1416, 74
1416, 149
1416, 305
1416, 572
1416, 718
1416, 1008
1416, 1118
1416, 1468
1416, 1602
1416, 1922
1416, 1923
1416, 1924
1416, 1925
1925, 1042
2054, 1042
2054, 1602
2054, 1628
2055, 1042
2055, 1628
2055, 2198
2189, 69
2189, 454
2189, 847
2189, 1395
2189, 1682
1042, 74
1042, 373
1042, 485
1042, 624
1042, 1047
1042, 1118
1042, 1125
1042, 1198
1042, 1481
1042, 1517
1042, 1628
1042, 2073
1042, 2198
1042, 2333
1047, 2333
2073, 1602
544, 74
69, 604
69, 1013
69, 1351
69, 1914
1351, 604
1922, 1008
74, 1118
74, 1517
847, 2422
604, 1914
