graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,9,10,1758,2
1,12,10,11,2654,2
2,44,8,9,933,2
3,40,14,19,2448,2
4,37,8,9,1067,2
5,26,9,9,533,2
6,22,8,9,1383,2
7,20,11,14,2444,2
8,63,24,42,526,2
9,13,8,9,464,2
10,12,10,11,2654,2
11,20,11,14,2444,2
12,36,12,17,2448,2
13,38,9,12,534,2
14,12,10,11,2654,2
15,34,18,26,2503,2
16,62,14,16,523,4
17,37,13,18,383,3
18,66,6,5,1020,3
19,44,15,18,2034,4
20,9,8,14,1160,3
21,29,12,14,2001,4
22,63,30,68,1772,1
23,52,27,59,350,1
24,44,19,39,1072,2
25,28,7,7,1810,3
26,36,12,12,1815,3
27,52,5,5,651,0
28,22,4,3,2156,0
29,20,7,6,32,0
30,57,20,20,1333,6
31,21,12,12,2195,0
32,54,6,8,518,3
33,53,13,13,504,6
34,42,14,20,815,0
35,14,9,11,88,0
36,67,11,11,666,0
37,24,10,15,1420,6
38,57,3,2,517,5
39,19,6,5,490,5
40,46,4,3,1332,0
41,55,13,19,76,5
42,33,11,11,1131,3
43,17,4,3,2019,0
44,14,9,11,88,0
45,38,9,8,1981,0
46,46,4,3,1332,0
47,19,6,5,490,5
48,38,9,8,1981,0
49,21,8,7,2019,0
