graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,23,27,2027,3
1,12,12,13,79,0
2,44,44,78,657,2
3,40,40,54,2138,3
4,37,37,72,1942,3
5,26,26,35,39,4
6,22,22,36,702,6
7,20,20,41,553,3
8,63,63,93,1336,4
9,13,13,18,430,4
10,12,12,15,2159,6
11,20,20,23,1096,3
12,36,36,50,1573,3
13,38,38,53,845,3
14,12,12,15,458,5
15,34,34,51,1918,6
16,62,62,132,1542,3
17,37,37,72,1942,3
18,66,66,100,218,3
19,44,44,49,1844,3
20,9,9,8,1104,0
21,29,29,40,1978,5
22,63,63,95,737,5
23,52,52,68,471,6
24,44,44,73,1394,5
25,28,28,38,2136,0
26,36,36,41,718,0
27,52,52,107,990,3
28,22,22,29,2231,0
29,20,20,37,1605,3
30,57,57,88,851,0
31,21,21,25,2509,3
32,54,54,111,1789,1
33,53,53,77,1644,0
34,42,42,66,1359,6
35,14,14,16,2393,4
36,67,67,97,1882,5
37,24,24,45,2439,2
38,57,57,101,1538,5
39,19,19,35,223,2
40,46,46,83,1838,0
41,55,55,80,48,3
42,33,33,52,242,0
43,17,17,26,2169,2
44,14,14,26,1129,4
45,38,38,69,1248,1
46,46,46,83,1838,0
47,19,19,35,223,2
48,38,38,69,1248,1
49,21,21,32,330,4
