1287, 1358
2444, 580
2444, 1710
1040, 1169
1040, 1358
1040, 1765
1169, 111
1169, 689
1169, 823
1169, 1358
154, 326
154, 364
154, 819
154, 1238
154, 1339
154, 1358
154, 1568
154, 1753
155, 1358
1568, 1358
1710, 372
1710, 480
1710, 687
1710, 1358
687, 480
687, 565
687, 1358
689, 1358
819, 364
819, 1358
565, 1723
823, 1358
823, 1765
1339, 1358
1339, 1753
1723, 73
1723, 1358
1723, 1724
1724, 1358
580, 1358
580, 1765
326, 1358
73, 1358
1739, 1358
1358, 111
1358, 364
1358, 501
1358, 1238
1358, 1492
1358, 1744
1358, 1753
1358, 1755
1358, 1765
1744, 1765
1492, 1765
1755, 1765
1765, 501
